,attrition_flag,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
75,Existing Customer,2,Graduate,Single,$80K - $120K,Blue,5272.0
76,Existing Customer,4,Graduate,Single,Less than $40K,Blue,7000.0
77,Existing Customer,3,Uneducated,Single,Less than $40K,Blue,7038.0
78,Existing Customer,3,Graduate,Divorced,$60K - $80K,Blue,2536.0
79,Existing Customer,2,Graduate,Married,$80K - $120K,Blue,28904.0
80,Existing Customer,3,Graduate,Married,$60K - $80K,Blue,8567.0
81,Existing Customer,1,Unknown,Unknown,$120K +,Blue,34516.0
82,Attrited Customer,4,Unknown,Married,$40K - $60K,Blue,2158.0
83,Existing Customer,1,Graduate,Married,Unknown,Blue,10133.0
84,Existing Customer,1,Graduate,Divorced,$80K - $120K,Blue,34516.0
85,Existing Customer,2,Graduate,Married,$60K - $80K,Blue,3085.0
86,Existing Customer,2,High School,Single,$120K +,Blue,19040.0
87,Existing Customer,3,Uneducated,Single,Less than $40K,Blue,4026.0
88,Existing Customer,3,High School,Single,$60K - $80K,Blue,12756.0
89,Existing Customer,2,Unknown,Married,$120K +,Blue,5266.0
90,Existing Customer,2,High School,Single,Less than $40K,Blue,9930.0
91,Existing Customer,4,High School,Single,$80K - $120K,Blue,31302.0
92,Existing Customer,1,Graduate,Single,$40K - $60K,Blue,6576.0
93,Existing Customer,0,Graduate,Single,$80K - $120K,Blue,2664.0
94,Existing Customer,3,Unknown,Married,Unknown,Blue,2535.0
95,Existing Customer,1,Graduate,Married,Less than $40K,Blue,1709.0
96,Existing Customer,3,Graduate,Married,$40K - $60K,Blue,3454.0
97,Existing Customer,3,Doctorate,Married,$40K - $60K,Blue,3789.0
98,Existing Customer,3,College,Married,$120K +,Blue,9689.0
99,Attrited Customer,2,Unknown,Married,$80K - $120K,Blue,5449.0
100,Existing Customer,3,College,Single,Unknown,Blue,23032.0
101,Existing Customer,3,Unknown,Married,Unknown,Silver,34516.0
102,Existing Customer,3,Graduate,Married,$120K +,Blue,2940.0
103,Existing Customer,2,Graduate,Single,Less than $40K,Blue,3031.0
104,Existing Customer,3,High School,Unknown,$60K - $80K,Blue,1862.0
105,Existing Customer,4,Post-Graduate,Married,Less than $40K,Blue,8358.0
106,Existing Customer,2,Post-Graduate,Single,$120K +,Blue,34516.0
107,Existing Customer,1,Uneducated,Married,$60K - $80K,Blue,14450.0
108,Existing Customer,1,Unknown,Married,Less than $40K,Blue,1438.3
109,Existing Customer,4,Unknown,Divorced,$120K +,Blue,33791.0
110,Existing Customer,4,Graduate,Married,$60K - $80K,Blue,8466.0
111,Existing Customer,3,Unknown,Married,$60K - $80K,Blue,15088.0
112,Existing Customer,4,High School,Divorced,$60K - $80K,Blue,3263.0
113,Existing Customer,0,Uneducated,Married,Less than $40K,Blue,1494.0
114,Existing Customer,3,Graduate,Single,$80K - $120K,Blue,13551.0
115,Existing Customer,1,Graduate,Single,$80K - $120K,Blue,18886.0
116,Existing Customer,3,High School,Unknown,$80K - $120K,Blue,11976.0
117,Existing Customer,3,High School,Single,$80K - $120K,Blue,9964.0
118,Existing Customer,1,Doctorate,Married,$60K - $80K,Blue,24159.0
119,Existing Customer,2,High School,Married,Less than $40K,Blue,5362.0
120,Existing Customer,2,Graduate,Single,$120K +,Blue,34516.0
121,Existing Customer,1,Doctorate,Married,Less than $40K,Blue,3174.0
122,Existing Customer,1,High School,Married,$80K - $120K,Blue,12262.0
123,Existing Customer,3,High School,Single,$40K - $60K,Blue,3788.0
124,Existing Customer,2,College,Single,$120K +,Silver,34516.0
125,Existing Customer,3,Graduate,Single,$60K - $80K,Blue,2926.0
126,Existing Customer,4,Graduate,Single,$120K +,Blue,32090.0
127,Attrited Customer,2,Graduate,Married,$80K - $120K,Blue,11669.0
128,Existing Customer,2,High School,Single,$40K - $60K,Blue,13532.0
129,Existing Customer,1,Uneducated,Unknown,Less than $40K,Silver,11888.0
130,Existing Customer,1,Graduate,Married,Less than $40K,Blue,2393.0
131,Existing Customer,4,Unknown,Married,$40K - $60K,Blue,6111.0
132,Existing Customer,4,Graduate,Married,$80K - $120K,Blue,19270.0
133,Existing Customer,1,Graduate,Married,$80K - $120K,Blue,3710.0
134,Existing Customer,2,Doctorate,Single,Less than $40K,Blue,3235.0
135,Existing Customer,3,Graduate,Single,$40K - $60K,Blue,11749.0
136,Existing Customer,2,High School,Divorced,$60K - $80K,Blue,7753.0
137,Existing Customer,4,College,Divorced,$60K - $80K,Blue,10408.0
138,Existing Customer,1,College,Married,Unknown,Blue,3967.0
139,Existing Customer,2,Post-Graduate,Single,Less than $40K,Blue,6205.0
140,Attrited Customer,5,High School,Married,Less than $40K,Blue,8025.0
141,Existing Customer,1,Unknown,Single,$120K +,Blue,9036.0
142,Existing Customer,4,Graduate,Married,$80K - $120K,Blue,14926.0
143,Existing Customer,1,Graduate,Single,Less than $40K,Blue,6335.0
144,Attrited Customer,1,College,Single,$60K - $80K,Blue,14979.0
145,Attrited Customer,4,Uneducated,Married,Less than $40K,Blue,2732.0
146,Existing Customer,2,Graduate,Single,Less than $40K,Blue,2250.0
147,Existing Customer,2,Graduate,Married,$120K +,Blue,10916.0
148,Existing Customer,4,Graduate,Married,Unknown,Blue,5349.0
149,Existing Customer,2,High School,Married,$80K - $120K,Blue,9366.0
150,Existing Customer,3,High School,Single,$80K - $120K,Blue,21617.0
151,Existing Customer,1,Graduate,Married,Unknown,Blue,13860.0
152,Existing Customer,1,Graduate,Single,$40K - $60K,Silver,18386.0
153,Existing Customer,4,Uneducated,Single,$60K - $80K,Blue,2405.0
154,Existing Customer,1,College,Married,Less than $40K,Blue,2154.0
155,Existing Customer,5,Unknown,Married,$40K - $60K,Blue,2038.0
156,Existing Customer,4,High School,Single,$40K - $60K,Blue,8135.0
157,Existing Customer,1,Doctorate,Married,$120K +,Blue,9364.0
158,Existing Customer,2,Uneducated,Married,Unknown,Silver,32643.0
159,Existing Customer,4,Graduate,Divorced,Less than $40K,Blue,3195.0
160,Existing Customer,0,High School,Married,$80K - $120K,Blue,2852.0
161,Existing Customer,1,College,Single,Unknown,Blue,4224.0
162,Existing Customer,1,Uneducated,Married,$60K - $80K,Blue,20459.0
163,Existing Customer,4,Unknown,Divorced,Less than $40K,Blue,3482.0
164,Existing Customer,4,Uneducated,Married,$40K - $60K,Blue,3065.0
165,Existing Customer,3,Uneducated,Married,Less than $40K,Blue,2185.0
166,Existing Customer,3,Uneducated,Married,Less than $40K,Blue,1611.0
167,Existing Customer,4,Uneducated,Married,Less than $40K,Blue,2822.0
168,Attrited Customer,5,Graduate,Single,$80K - $120K,Blue,32975.0
169,Existing Customer,3,High School,Married,$60K - $80K,Blue,1438.3
170,Existing Customer,4,Uneducated,Divorced,Unknown,Blue,15875.0
171,Existing Customer,1,High School,Married,Less than $40K,Blue,6703.0
172,Attrited Customer,2,Unknown,Married,$80K - $120K,Blue,3212.0
173,Existing Customer,2,High School,Married,$80K - $120K,Silver,34516.0
174,Existing Customer,3,High School,Married,$40K - $60K,Blue,9797.0
175,Existing Customer,5,Graduate,Divorced,$40K - $60K,Blue,10400.0
176,Existing Customer,3,Uneducated,Married,$80K - $120K,Blue,26792.0
177,Existing Customer,1,Graduate,Married,Less than $40K,Blue,3006.0
178,Existing Customer,2,Uneducated,Single,$40K - $60K,Silver,19482.0
179,Existing Customer,1,Uneducated,Married,$40K - $60K,Blue,3356.0
180,Existing Customer,2,Uneducated,Married,$40K - $60K,Blue,5771.0
181,Existing Customer,3,Graduate,Married,$80K - $120K,Blue,11106.0
182,Existing Customer,1,Uneducated,Married,Less than $40K,Blue,2890.0
183,Existing Customer,1,Graduate,Married,$60K - $80K,Blue,3380.0
184,Existing Customer,3,Graduate,Married,$60K - $80K,Blue,21331.0
185,Existing Customer,3,Uneducated,Single,Unknown,Blue,12860.0
186,Existing Customer,3,Post-Graduate,Single,$80K - $120K,Blue,6278.0
187,Existing Customer,0,College,Single,Less than $40K,Blue,1438.3
188,Existing Customer,2,High School,Married,Less than $40K,Blue,9355.0
189,Existing Customer,2,Post-Graduate,Married,Unknown,Blue,20758.0
190,Existing Customer,1,Graduate,Married,$80K - $120K,Blue,14612.0
191,Existing Customer,4,Graduate,Unknown,$80K - $120K,Blue,27259.0
192,Existing Customer,3,Graduate,Married,Less than $40K,Blue,6347.0
193,Existing Customer,3,Doctorate,Married,$120K +,Blue,21592.0
194,Existing Customer,5,Post-Graduate,Married,Less than $40K,Blue,3449.0
195,Existing Customer,3,High School,Married,Less than $40K,Blue,6028.0
196,Existing Customer,0,High School,Unknown,$120K +,Blue,18214.0
197,Existing Customer,3,Uneducated,Married,$80K - $120K,Blue,16393.0
198,Attrited Customer,0,High School,Married,Less than $40K,Blue,1438.3
199,Existing Customer,1,College,Married,$60K - $80K,Blue,7871.0
200,Existing Customer,4,Unknown,Married,$80K - $120K,Blue,5288.0
201,Existing Customer,5,Graduate,Married,$60K - $80K,Blue,11376.0
202,Existing Customer,3,College,Married,$80K - $120K,Blue,12302.0
203,Existing Customer,4,Graduate,Married,$60K - $80K,Silver,34516.0
204,Existing Customer,2,Graduate,Married,$60K - $80K,Silver,34516.0
205,Existing Customer,1,High School,Divorced,Less than $40K,Silver,10514.0
206,Attrited Customer,2,Graduate,Married,Less than $40K,Blue,1438.3
207,Attrited Customer,2,Post-Graduate,Married,$60K - $80K,Blue,1438.3
208,Existing Customer,1,Graduate,Married,$40K - $60K,Blue,2619.0
209,Existing Customer,2,College,Married,$120K +,Blue,24407.0
210,Existing Customer,2,High School,Married,Less than $40K,Blue,2377.0
211,Existing Customer,0,Unknown,Unknown,$80K - $120K,Silver,34516.0
212,Existing Customer,3,Graduate,Married,$120K +,Blue,11086.0
213,Existing Customer,3,High School,Single,$60K - $80K,Blue,11432.0
214,Existing Customer,4,High School,Married,$40K - $60K,Blue,13258.0
215,Existing Customer,2,College,Single,Less than $40K,Blue,2571.0
216,Existing Customer,4,Graduate,Single,Less than $40K,Blue,5781.0
217,Existing Customer,4,Unknown,Married,$60K - $80K,Blue,7872.0
218,Existing Customer,3,High School,Married,$80K - $120K,Blue,34516.0
219,Existing Customer,3,Uneducated,Divorced,Less than $40K,Silver,11127.0
220,Existing Customer,2,Unknown,Single,$40K - $60K,Blue,1857.0
221,Existing Customer,1,Uneducated,Married,Less than $40K,Blue,1913.0
222,Existing Customer,4,Graduate,Single,$80K - $120K,Blue,3839.0
223,Existing Customer,3,Graduate,Divorced,$40K - $60K,Blue,2115.0
224,Existing Customer,2,Graduate,Divorced,Less than $40K,Blue,1438.3
225,Existing Customer,2,High School,Single,$80K - $120K,Blue,27756.0
226,Existing Customer,3,College,Single,$60K - $80K,Blue,1438.3
227,Existing Customer,2,Uneducated,Divorced,Less than $40K,Silver,13878.0
228,Existing Customer,2,Graduate,Married,Less than $40K,Blue,3106.0
229,Existing Customer,2,Graduate,Married,$120K +,Blue,34516.0
230,Attrited Customer,1,Uneducated,Married,$40K - $60K,Blue,1438.3
231,Existing Customer,2,Unknown,Married,$80K - $120K,Blue,18871.0
232,Existing Customer,5,Graduate,Single,$120K +,Blue,5207.0
233,Existing Customer,3,Post-Graduate,Divorced,$80K - $120K,Blue,17965.0
234,Existing Customer,1,College,Single,$60K - $80K,Blue,2733.0
235,Existing Customer,2,College,Married,$60K - $80K,Blue,8863.0
236,Attrited Customer,1,Uneducated,Married,$80K - $120K,Blue,1857.0
237,Existing Customer,3,Graduate,Unknown,$80K - $120K,Blue,34516.0
238,Existing Customer,2,Uneducated,Married,$40K - $60K,Blue,11107.0
239,Existing Customer,4,Unknown,Single,$80K - $120K,Blue,21573.0
240,Attrited Customer,2,Unknown,Married,Less than $40K,Blue,2859.0
241,Existing Customer,2,High School,Single,$80K - $120K,Blue,5269.0
242,Attrited Customer,5,College,Married,$40K - $60K,Blue,1438.3
243,Attrited Customer,2,College,Married,Less than $40K,Blue,3387.0
244,Existing Customer,2,Graduate,Married,$80K - $120K,Blue,1982.0
245,Existing Customer,3,Uneducated,Single,$80K - $120K,Blue,4645.0
246,Existing Customer,3,Doctorate,Single,Unknown,Blue,2189.0
247,Attrited Customer,4,High School,Married,$120K +,Blue,2442.0
248,Existing Customer,3,Graduate,Married,$60K - $80K,Blue,21304.0
249,Existing Customer,2,Doctorate,Single,$60K - $80K,Blue,7577.0
250,Existing Customer,3,Post-Graduate,Single,$120K +,Blue,3234.0
251,Existing Customer,0,High School,Married,$40K - $60K,Blue,4469.0
252,Existing Customer,3,Unknown,Unknown,$40K - $60K,Blue,2910.0
253,Attrited Customer,0,High School,Single,$40K - $60K,Blue,3616.0
254,Existing Customer,0,High School,Married,Less than $40K,Blue,3252.0
255,Existing Customer,2,High School,Married,Less than $40K,Blue,2358.0
256,Existing Customer,4,Unknown,Single,$60K - $80K,Blue,22322.0
257,Existing Customer,1,Uneducated,Single,$120K +,Blue,3133.0
258,Existing Customer,2,Uneducated,Single,$40K - $60K,Blue,3540.0
259,Existing Customer,1,Graduate,Married,$40K - $60K,Blue,6990.0
260,Existing Customer,2,College,Unknown,$80K - $120K,Blue,34516.0
261,Attrited Customer,0,Post-Graduate,Married,$40K - $60K,Blue,1438.3
262,Existing Customer,4,Unknown,Married,$60K - $80K,Blue,24396.0
263,Existing Customer,1,Unknown,Married,Less than $40K,Blue,2474.0
264,Existing Customer,2,Uneducated,Married,$40K - $60K,Blue,5214.0
265,Existing Customer,2,Graduate,Married,Less than $40K,Blue,5207.0
266,Existing Customer,3,Unknown,Unknown,Less than $40K,Blue,9512.0
267,Existing Customer,4,Graduate,Divorced,Unknown,Blue,3187.0
268,Attrited Customer,0,High School,Married,$40K - $60K,Blue,3353.0
269,Existing Customer,5,Graduate,Married,$60K - $80K,Blue,2290.0
270,Existing Customer,3,Unknown,Single,$40K - $60K,Blue,5279.0
271,Existing Customer,2,Uneducated,Divorced,$60K - $80K,Blue,23603.0
272,Existing Customer,0,Uneducated,Married,$40K - $60K,Blue,2601.0
273,Existing Customer,4,Graduate,Single,$80K - $120K,Blue,6363.0
274,Existing Customer,3,High School,Single,$80K - $120K,Blue,8029.0
275,Existing Customer,4,Uneducated,Married,Less than $40K,Blue,2410.0
276,Attrited Customer,2,Graduate,Single,$60K - $80K,Blue,3401.0
277,Existing Customer,4,Uneducated,Married,Less than $40K,Blue,2260.0
278,Existing Customer,4,Uneducated,Divorced,$80K - $120K,Blue,17682.0
279,Existing Customer,4,High School,Married,$40K - $60K,Blue,4206.0
280,Existing Customer,1,Graduate,Single,$80K - $120K,Silver,34516.0
281,Existing Customer,4,High School,Unknown,$80K - $120K,Blue,23018.0
282,Existing Customer,1,Uneducated,Married,$40K - $60K,Blue,5556.0
283,Attrited Customer,2,High School,Married,Unknown,Blue,6094.0
284,Existing Customer,0,Graduate,Married,$40K - $60K,Blue,2939.0
285,Existing Customer,0,Uneducated,Married,$80K - $120K,Blue,5362.0
286,Attrited Customer,2,High School,Married,$120K +,Blue,27126.0
287,Existing Customer,4,Graduate,Single,Less than $40K,Blue,3342.0
288,Attrited Customer,4,Graduate,Married,Unknown,Blue,2532.0
289,Existing Customer,3,Doctorate,Married,Unknown,Blue,1900.0
290,Existing Customer,3,Graduate,Single,$60K - $80K,Blue,14546.0
291,Existing Customer,4,Doctorate,Single,Unknown,Blue,2521.0
292,Existing Customer,2,Doctorate,Married,$60K - $80K,Blue,16427.0
293,Existing Customer,2,Graduate,Unknown,$40K - $60K,Blue,13068.0
294,Existing Customer,2,College,Single,$60K - $80K,Blue,23218.0
295,Existing Customer,0,High School,Married,$40K - $60K,Blue,3281.0
296,Existing Customer,2,High School,Married,$40K - $60K,Blue,3096.0
297,Existing Customer,0,High School,Married,$40K - $60K,Blue,2052.0
298,Existing Customer,1,High School,Unknown,Less than $40K,Blue,1438.3
299,Existing Customer,3,High School,Single,$40K - $60K,Blue,9432.0
300,Existing Customer,0,High School,Single,$120K +,Silver,14938.0
301,Existing Customer,2,Uneducated,Married,$60K - $80K,Blue,2221.0
302,Existing Customer,3,Post-Graduate,Divorced,$60K - $80K,Blue,5731.0
303,Existing Customer,4,College,Married,$60K - $80K,Gold,34516.0
304,Existing Customer,3,Uneducated,Married,$60K - $80K,Blue,6985.0
305,Existing Customer,2,Graduate,Married,$120K +,Blue,24221.0
306,Existing Customer,3,High School,Married,Unknown,Blue,15439.0
307,Existing Customer,4,Graduate,Single,$80K - $120K,Blue,21637.0
308,Existing Customer,2,Graduate,Single,$120K +,Blue,14543.0
309,Existing Customer,4,Uneducated,Married,Less than $40K,Blue,9684.0
310,Existing Customer,2,High School,Married,$40K - $60K,Blue,5007.0
311,Existing Customer,0,Graduate,Married,$60K - $80K,Blue,1616.0
312,Existing Customer,2,Uneducated,Single,$60K - $80K,Blue,19116.0
313,Existing Customer,3,Graduate,Married,Less than $40K,Blue,2759.0
314,Attrited Customer,3,Graduate,Married,$120K +,Blue,8249.0
315,Existing Customer,2,Graduate,Single,Unknown,Blue,14041.0
316,Existing Customer,3,High School,Married,$60K - $80K,Blue,5264.0
317,Existing Customer,0,Unknown,Married,Less than $40K,Blue,2420.0
318,Existing Customer,4,High School,Married,Less than $40K,Blue,2826.0
319,Existing Customer,2,High School,Married,$80K - $120K,Blue,12518.0
320,Existing Customer,0,Graduate,Married,$40K - $60K,Blue,5876.0
321,Existing Customer,3,Graduate,Single,$80K - $120K,Silver,34516.0
322,Existing Customer,2,Uneducated,Divorced,Less than $40K,Blue,9648.0
323,Existing Customer,2,High School,Single,$80K - $120K,Silver,34516.0
324,Existing Customer,2,Uneducated,Married,Unknown,Blue,3025.0
325,Existing Customer,3,High School,Married,$60K - $80K,Blue,3265.0
326,Existing Customer,1,Uneducated,Married,$120K +,Blue,6041.0
327,Existing Customer,2,Post-Graduate,Married,Less than $40K,Blue,2293.0
328,Existing Customer,3,Post-Graduate,Unknown,$80K - $120K,Blue,13399.0
329,Existing Customer,3,Unknown,Married,Less than $40K,Blue,4317.0
330,Existing Customer,3,Graduate,Single,$40K - $60K,Blue,3378.0
331,Existing Customer,1,Graduate,Single,Less than $40K,Blue,5012.0
332,Existing Customer,4,Uneducated,Single,Less than $40K,Blue,2569.0
333,Existing Customer,1,Graduate,Single,Less than $40K,Blue,3471.0
334,Existing Customer,5,Graduate,Divorced,$120K +,Silver,34516.0
335,Existing Customer,1,High School,Married,$120K +,Blue,3312.0
336,Existing Customer,1,Graduate,Married,Less than $40K,Blue,2578.0
337,Attrited Customer,2,Unknown,Married,$40K - $60K,Blue,2902.0
338,Existing Customer,3,High School,Married,Less than $40K,Blue,2742.0
339,Existing Customer,1,High School,Married,Less than $40K,Blue,2077.0
340,Existing Customer,4,Graduate,Single,Less than $40K,Blue,6265.0
341,Existing Customer,2,Uneducated,Married,$60K - $80K,Blue,7819.0
342,Existing Customer,3,Graduate,Single,$80K - $120K,Blue,2731.0
343,Attrited Customer,1,Uneducated,Married,$40K - $60K,Blue,1438.3
344,Existing Customer,0,High School,Married,$80K - $120K,Blue,16286.0
345,Existing Customer,1,Graduate,Married,$120K +,Blue,34516.0
346,Existing Customer,3,High School,Married,Less than $40K,Blue,2609.0
347,Existing Customer,2,High School,Single,$60K - $80K,Blue,7567.0
348,Existing Customer,5,High School,Married,$60K - $80K,Blue,22770.0
349,Existing Customer,0,Uneducated,Married,Less than $40K,Blue,3791.0
350,Existing Customer,2,Graduate,Married,Less than $40K,Blue,2702.0
351,Existing Customer,3,High School,Divorced,Less than $40K,Blue,2555.0
352,Existing Customer,3,Graduate,Married,$80K - $120K,Blue,2355.0
353,Existing Customer,2,Graduate,Single,$40K - $60K,Blue,5332.0
354,Existing Customer,1,Uneducated,Single,$40K - $60K,Blue,1443.0
355,Existing Customer,4,Graduate,Single,$60K - $80K,Blue,10741.0
356,Existing Customer,1,Uneducated,Married,$60K - $80K,Blue,7984.0
357,Existing Customer,3,Uneducated,Single,$60K - $80K,Blue,18584.0
358,Existing Customer,0,Graduate,Married,Unknown,Blue,5585.0
359,Existing Customer,2,Uneducated,Married,$80K - $120K,Blue,34516.0
360,Existing Customer,1,Uneducated,Married,Less than $40K,Blue,1438.3
361,Existing Customer,2,Graduate,Single,$80K - $120K,Blue,2478.0
362,Existing Customer,4,High School,Single,$120K +,Blue,34516.0
363,Existing Customer,2,Graduate,Married,$40K - $60K,Blue,2339.0
364,Existing Customer,2,Graduate,Married,Less than $40K,Blue,2726.0
365,Existing Customer,4,Unknown,Married,$120K +,Blue,14881.0
366,Existing Customer,4,Graduate,Married,$40K - $60K,Blue,1628.0
367,Existing Customer,2,Graduate,Married,Less than $40K,Blue,3156.0
368,Existing Customer,2,Graduate,Single,Less than $40K,Blue,4745.0
369,Existing Customer,2,High School,Married,$120K +,Blue,19727.0
370,Existing Customer,0,Uneducated,Married,$60K - $80K,Blue,22720.0
371,Existing Customer,4,Unknown,Married,$40K - $60K,Blue,8129.0
372,Existing Customer,4,Graduate,Single,Less than $40K,Blue,3751.0
373,Existing Customer,4,High School,Married,Less than $40K,Blue,1594.0
374,Existing Customer,1,High School,Single,Less than $40K,Blue,2569.0
375,Existing Customer,4,Post-Graduate,Single,Unknown,Blue,18206.0
376,Existing Customer,4,High School,Married,$40K - $60K,Blue,3104.0
377,Existing Customer,3,Graduate,Married,$40K - $60K,Blue,2406.0
378,Existing Customer,1,Uneducated,Married,$80K - $120K,Blue,24571.0
379,Existing Customer,3,High School,Single,Less than $40K,Gold,15534.0
380,Existing Customer,2,Graduate,Married,Less than $40K,Silver,12301.0
381,Existing Customer,4,Graduate,Married,$80K - $120K,Blue,2846.0
382,Existing Customer,2,Uneducated,Unknown,$120K +,Blue,9788.0
383,Existing Customer,2,High School,Married,$60K - $80K,Blue,7231.0
384,Existing Customer,1,High School,Married,Less than $40K,Blue,2324.0
385,Existing Customer,2,Graduate,Married,$80K - $120K,Blue,12208.0
386,Attrited Customer,4,Post-Graduate,Unknown,$80K - $120K,Blue,5639.0
387,Existing Customer,1,Graduate,Married,$60K - $80K,Blue,10021.0
388,Existing Customer,0,Unknown,Married,Less than $40K,Blue,2215.0
389,Existing Customer,2,Graduate,Married,Less than $40K,Blue,2027.0
390,Existing Customer,2,Graduate,Married,$60K - $80K,Blue,6363.0
391,Existing Customer,3,College,Single,Less than $40K,Blue,3920.0
392,Existing Customer,3,High School,Married,$60K - $80K,Blue,9226.0
393,Existing Customer,4,Unknown,Divorced,Less than $40K,Blue,9376.0
394,Existing Customer,1,Post-Graduate,Married,$40K - $60K,Blue,1944.0
