gender,address,trade_term,recept_balance,age
F,서울시 노원구 공릉2동,17,800159,48
M,서울시 중랑구 묵2동,6,28748062,63
F,서울시 금천구 시흥5동,6,266726,52
F,서울시 종로구 숭인2동,2,789450,44
M,서울시 성북구 동선동,16,25881913,60
M,서울시 노원구 상계1동,1,317036,27
F,서울시 성북구 장위2동,2,5776936,71
F,서울시 동작구 대방동,12,8773841,37
F,서울시 강서구 가양2동,19,15060319,43
M,서울시 서대문구 홍1동,10,875126,64
F,서울시 도봉구 창5동,10,3146111,46
M,서울시 은평구 응암3동,16,26844,26
F,서울시 성북구 정릉2동,12,62972422,53
F,서울시 관악구 은천동,3,266304,25
F,서울시 강동구 상일동,15,6512717,34
M,서울시 금천구 양평1동,4,277354,32
F,서울시 금천구 대림2동,6,611891,27
F,서울시 강동구 명일1동,3,531530,70
F,서울시 강동구 둔촌2동,8,26620,38
M,서울시 은평구 구산동,3,493590,47
M,서울시 구로구 개봉2동,19,972355,45
F,서울시 은평구 증산동,7,579364,36
F,서울시 양천구 신정1동,18,9285179,57
M,서울시 노원구 공릉2동,14,947226,37
M,서울시 동대문구 답십리2동,17,425508,66
F,서울시 도봉구 도봉2동,12,4240661,40
F,서울시 송파구 잠실2동,12,5070377,46
F,서울시 성동구 송정동,7,125104,20
M,서울시 금천구 당산1동,5,769310,39
F,서울시 구로구 고척2동,10,65947,30
M,서울시 광진구 자양3동,3,23207001,25
M,서울시 은평구 역촌동,3,493590,20
F,서울시 서초구 서초4동,20,9112739,29
F,서울시 성북구 안암동,18,743608,29
F,서울시 송파구 잠실3동,7,957069,68
F,서울시 동대문구 장안1동,10,5237294,56
M,서울시 서대문구 천연동,19,9382968,44
M,서울시 서초구 잠원동,5,136204,51
F,서울시 금천구 여의동,12,829033,66
M,서울시 강북구 삼양동,17,248993,34
F,서울시 양천구 목2동,11,590311,69
M,서울시 동작구 대방동,9,19864,68
F,서울시 은평구 신사1동,15,689448,34
M,서울시 금천구 시흥2동,5,3423922,69
F,서울시 양천구 신정7동,6,9253175,53
M,서울시 강서구 방화3동,16,6912711,54
M,서울시 성동구 왕십리도선동,16,251564,60
F,서울시 강남구 논현1동,9,921442,60
M,서울시 마포구 망원1동,8,2355003,34
M,서울시 송파구 위례동,4,245439,43
M,서울시 송파구 송파1동,4,661805,47
M,서울시 성동구 성수2가1동,2,2717691,54
M,서울시 금천구 문래동,2,739720,38
M,서울시 송파구 석촌동,19,644303,62
F,서울시 강동구 암사3동,9,304655,52
M,서울시 동대문구 장안1동,16,959819,30
F,서울시 구로구 구로4동,21,588698,46
M,서울시 중랑구 묵2동,12,318644,46
M,서울시 관악구 미성동,11,115997,43
M,서울시 종로구 창신3동,10,653984,49
F,서울시 관악구 은천동,3,851265,33
F,서울시 광진구 자양4동,18,4559120,55
M,서울시 성동구 행당2동,6,258933,26
M,서울시 금천구 여의동,1,8941414,70
F,서울시 동작구 상도4동,6,6189128,48
M,서울시 서초구 잠원동,5,429123,36
M,서울시 성북구 정릉2동,8,26402854,37
M,서울시 서대문구 연희동,11,973030,40
M,서울시 금천구 양평1동,9,138285,55
F,서울시 관악구 청림동,19,4559120,57
M,서울시 광진구 군자동,1,88358,54
M,서울시 마포구 신수동,24,2799952,36
M,서울시 동작구 신대방2동,8,836106,47
M,서울시 중랑구 신내1동,7,8189142,36
F,서울시 서초구 반포본동,15,884137,60
M,서울시 관악구 신원동,11,4426458,53
F,서울시 양천구 신정4동,10,840937,42
M,서울시 노원구 공릉1동,3,3946151,48
F,서울시 서초구 내곡동,11,7138181,37
F,서울시 광진구 광장동,10,682794,56
F,서울시 노원구 상계2동,13,850764,55
F,서울시 종로구 혜화동,10,807390,50
M,서울시 관악구 보라매동,16,589796,54
F,서울시 양천구 목5동,10,807390,64
M,서울시 동작구 노량진1동,5,7736475,24
F,서울시 송파구 방이1동,14,867267,25
F,서울시 강남구 삼성2동,10,275476,52
M,서울시 구로구 구로1동,14,147495,45
F,서울시 성북구 월곡2동,20,718045,41
F,서울시 은평구 응암3동,5,223356,43
F,서울시 마포구 대흥동,11,952357,39
F,서울시 서대문구 북가좌2동,17,331111,34
F,서울시 성북구 월곡2동,5,274489,33
M,서울시 강북구 송천동,3,3301075,56
F,서울시 도봉구 방학3동,2,900948,34
M,서울시 관악구 삼성동,14,3916040,21
F,서울시 강동구 상일동,15,6512717,57
M,서울시 성북구 돈암1동,2,9300196,27
F,서울시 서대문구 북가좌2동,17,331111,66
M,서울시 마포구 성산1동,13,4614120,29
M,서울시 동대문구 제기동,11,6815864,28
M,서울시 송파구 삼전동,9,28781,38
F,서울시 은평구 진관동,8,542772,30
M,서울시 강서구 발산1동,13,3860266,70
F,서울시 강동구 명일1동,17,6951875,39
M,서울시 강서구 공항동,13,700108,63
F,서울시 강남구 논현1동,14,29174749,22
F,서울시 도봉구 방학2동,6,610752,54
F,서울시 도봉구 도봉2동,4,334335,49
F,서울시 강남구 논현1동,16,717265,23
F,서울시 강서구 공항동,3,845245,59
M,서울시 노원구 월계2동,19,309961,66
M,서울시 금천구 독산3동,17,2661621,39
M,서울시 양천구 신월1동,8,45108,37
F,서울시 동대문구 청량리동,6,406997,40
M,서울시 구로구 수궁동,19,600256,20
M,서울시 용산구 한강로동,19,787361,63
M,서울시 구로구 가리봉동,3,647602,56
F,서울시 중랑구 면목3동,9,990950,48
M,서울시 서대문구 충현동,14,356838,45
F,서울시 성동구 행당2동,8,925875,60
M,서울시 양천구 신월1동,19,177987,66
F,서울시 도봉구 창1동,13,908489,40
M,서울시 용산구 한남동,12,829033,60
F,서울시 도봉구 창2동,4,851265,44
F,서울시 송파구 잠실본동,13,8017047,63
F,서울시 금천구 문래동,12,739720,27
F,서울시 강서구 공항동,3,4436249,57
M,서울시 강남구 삼성1동,11,882673,32
M,서울시 금천구 독산3동,1,991966,40
M,서울시 서대문구 연희동,14,26685,54
M,서울시 강북구 번1동,7,28534782,42
M,서울시 양천구 신월1동,1,491206,45
F,서울시 서대문구 북가좌2동,8,931621,67
F,서울시 성북구 장위2동,14,987879,62
F,서울시 금천구 시흥1동,3,1315002,23
M,서울시 노원구 공릉2동,5,6824470,36
F,서울시 노원구 하계1동,3,757951,57
M,서울시 강북구 수유3동,18,7712104,40
M,서울시 서대문구 홍3동,11,709256,64
M,서울시 송파구 잠실본동,1,2610177,54
F,서울시 구로구 고척1동,18,607217,62
M,서울시 종로구 종로1가,7,96071082,42
F,서울시 강서구 화곡6동,5,920543,34
F,서울시 강동구 성내3동,16,25083,54
M,서울시 관악구 삼성동,16,617293,60
F,서울시 서대문구 신촌동,1,24375307,41
F,서울시 서대문구 홍2동,7,1937677,25
F,서울시 성북구 정릉3동,13,850764,53
F,서울시 양천구 신월3동,4,864990,57
F,서울시 강서구 발산1동,4,223091,39
F,서울시 강남구 세곡동,8,232612,52
F,서울시 양천구 신정1동,13,209568,27
F,서울시 강남구 대치4동,19,233148,68
F,서울시 도봉구 창1동,9,5546286,66
F,서울시 용산구 한강로동,5,1546922,52
F,서울시 강남구 삼성2동,9,165052,50
M,서울시 강동구 천호2동,5,587905,58
F,서울시 양천구 신정1동,5,2286545,60
M,서울시 동대문구 전농2동,1,24943712,60
F,서울시 은평구 응암1동,11,324360,48
F,서울시 강서구 화곡1동,20,438369,37
F,서울시 은평구 응암3동,4,333138,51
M,서울시 성동구 행당2동,19,9277984,46
F,서울시 서대문구 홍3동,5,981859,29
F,서울시 강동구 암사3동,9,251928,29
M,서울시 은평구 역촌동,24,2799952,53
M,서울시 강동구 강일동,3,46581,53
F,서울시 강동구 천호2동,16,3463291,67
M,서울시 서대문구 연희동,13,3860266,32
M,서울시 성북구 동선동,11,304655,30
F,서울시 은평구 갈현1동,13,480942,45
F,서울시 중랑구 면목7동,12,542008,30
M,서울시 노원구 상계8동,2,885277,42
M,서울시 용산구 한남동,16,713868,48
F,서울시 강남구 대치4동,16,59693,42
F,서울시 동대문구 청량리동,11,414055,62
M,서울시 금천구 독산1동,10,709256,47
M,서울시 서초구 방배2동,15,3703071,22
F,서울시 중랑구 상봉1동,3,28514406,39
M,서울시 양천구 신정3동,15,20437348,69
F,서울시 강서구 화곡1동,10,1562918,44
M,서울시 서대문구 홍3동,15,533026,66
F,서울시 강서구 화곡2동,7,96071082,49
F,서울시 성북구 월곡2동,1,284553,26
M,서울시 성북구 안암동,12,219864,64
F,서울시 금천구 시흥5동,15,28345067,58
M,서울시 서초구 방배3동,11,973030,38
M,서울시 양천구 목3동,3,7637614,36
F,서울시 송파구 거여2동,14,5048394,39
M,서울시 금천구 신길3동,12,577732,59
M,서울시 노원구 공릉1동,9,214712,38
F,서울시 동작구 노량진1동,3,863985,60
F,서울시 구로구 구로2동,9,840937,22
M,서울시 동작구 노량진1동,9,7495439,70
M,서울시 강동구 천호2동,11,10758538,52
F,서울시 광진구 군자동,11,462567,45
M,서울시 중랑구 신내2동,15,4438877,40
M,서울시 양천구 신정2동,1,98099,31
M,서울시 양천구 신정2동,16,309961,46
F,서울시 관악구 중앙동,7,6364293,28
M,서울시 중랑구 묵2동,12,729459,54
F,서울시 은평구 갈현1동,4,8621945,66
M,서울시 성북구 길음2동,11,9012047,47
M,서울시 강남구 삼성2동,15,729459,36
F,서울시 금천구 시흥5동,12,1893555,57
F,서울시 성북구 종암동,7,506519,52
F,서울시 강서구 가양1동,11,8598919,30
F,서울시 강남구 역삼2동,7,921528,66
M,서울시 은평구 구산동,19,617293,36
F,서울시 강남구 대치1동,10,921528,25
F,서울시 은평구 응암3동,14,5118899,35
F,서울시 동작구 노량진1동,9,407848,59
M,서울시 용산구 한강로동,13,318644,33
M,서울시 동대문구 답십리2동,16,3539418,70
M,서울시 은평구 신사1동,10,324360,33
M,서울시 노원구 하계1동,4,915346,43
F,서울시 관악구 신원동,14,67196,34
M,서울시 양천구 목1동,4,283148,44
M,서울시 송파구 잠실6동,6,823884,32
M,서울시 서대문구 홍1동,16,929154,58
M,서울시 중랑구 면목7동,9,7275786,69
F,서울시 중랑구 면목5동,15,3413716,60
F,서울시 서대문구 북가좌2동,6,674086,20
M,서울시 도봉구 창5동,5,429123,39
F,서울시 중랑구 면목4동,2,85725,54
F,서울시 동대문구 전농1동,17,527308,59
M,서울시 구로구 개봉2동,4,104651,61
F,서울시 성북구 성북동,7,698761,28
F,서울시 성동구 성수2가3동,13,1893555,58
M,서울시 중랑구 묵1동,13,803698,60
M,서울시 중랑구 상봉2동,9,19512419,27
M,서울시 성동구 행당2동,10,664601,62
M,서울시 금천구 대림3동,9,494724,39
M,서울시 금천구 시흥1동,6,3043939,69
F,서울시 강동구 암사1동,7,3885329,36
F,서울시 구로구 구로2동,1,4747603,71
M,서울시 도봉구 창4동,4,871237,71
M,서울시 양천구 목2동,15,539823,41
M,서울시 성북구 장위1동,15,334936,33
F,서울시 송파구 문정2동,3,3290306,62
F,서울시 양천구 신정7동,7,586526,54
F,서울시 성북구 돈암2동,6,465764,56
F,서울시 강서구 우장산동,2,5577833,23
M,서울시 양천구 신정3동,7,22475259,64
M,서울시 강북구 삼양동,12,660958,58
F,서울시 노원구 공릉2동,11,8483718,63
M,서울시 광진구 자양1동,1,317036,45
F,서울시 광진구 중곡3동,3,658065,56
M,서울시 동대문구 제기동,16,658829,44
F,서울시 용산구 한강로동,12,26256297,42
F,서울시 종로구 숭인1동,9,12701270,29
M,서울시 관악구 은천동,9,656067,27
F,서울시 은평구 역촌동,10,7275786,60
F,서울시 강서구 화곡1동,14,690985,43
M,서울시 금천구 독산1동,5,804564,54
F,서울시 은평구 대조동,11,65947,48
F,서울시 송파구 오금동,19,632274,61
F,서울시 양천구 신월3동,4,247742,38
M,서울시 구로구 고척2동,23,383135873,24
M,서울시 강서구 염창동,4,979055,44
F,서울시 성북구 장위2동,12,8591724,44
F,서울시 구로구 구로4동,18,7055790,20
F,서울시 금천구 당산2동,11,827192,27
M,서울시 은평구 응암1동,5,7736475,69
F,서울시 성북구 월곡2동,15,117950264,28
M,서울시 송파구 장지동,8,6134758,25
M,서울시 금천구 양평2동,3,5260714,39
M,서울시 관악구 인헌동,1,6883725,70
F,서울시 강서구 화곡1동,8,1069310,67
M,서울시 강서구 화곡1동,9,690985,50
M,서울시 은평구 신사1동,18,265036,69
F,서울시 성북구 안암동,15,590311,41
M,서울시 노원구 상계3동,11,943485,47
F,서울시 관악구 서림동,1,478842,57
F,서울시 금천구 독산1동,6,556200,53
F,서울시 양천구 신정7동,10,29146508,40
M,서울시 성북구 종암동,15,29666474,69
M,서울시 마포구 성산1동,13,749926,36
F,서울시 은평구 대조동,8,698761,25
M,서울시 동대문구 휘경2동,19,481722,54
F,서울시 은평구 불광1동,18,868878,40
F,서울시 성북구 월곡2동,19,38457,43
F,서울시 중랑구 상봉1동,14,7446825,57
F,서울시 강남구 수서동,7,840937,42
F,서울시 서초구 서초1동,9,955143,49
M,서울시 중랑구 면목2동,16,407848,30
M,서울시 성북구 길음1동,16,25413,64
M,서울시 강서구 가양3동,11,7081673,25
F,서울시 강서구 화곡본동,7,8574873,62
F,서울시 구로구 구로1동,10,543933,41
M,서울시 구로구 구로3동,6,356927,61
F,서울시 서초구 반포1동,17,481722,57
M,서울시 성동구 응봉동,2,328866,53
M,서울시 광진구 화양동,6,678544,34
M,서울시 동대문구 이문1동,8,588655,45
M,서울시 강서구 공항동,22,6573170,29
M,서울시 양천구 신정1동,4,245439,54
M,서울시 구로구 구로3동,8,833592,45
M,서울시 성북구 길음2동,7,2963613,44
F,서울시 광진구 자양1동,5,14898788,60
F,서울시 서초구 반포1동,3,867810,53
F,서울시 강북구 번3동,4,554057,62
F,서울시 도봉구 창2동,7,2436352,30
M,서울시 은평구 갈현1동,4,827063,67
M,서울시 동대문구 이문1동,9,12701270,26
F,서울시 성북구 정릉3동,13,8017047,29
F,서울시 관악구 은천동,6,3043939,45
M,서울시 광진구 구의3동,9,9180730,62
F,서울시 도봉구 쌍문3동,4,9983188,25
F,서울시 서초구 반포4동,14,8039798,54
F,서울시 금천구 당산2동,8,542772,55
M,서울시 강서구 방화3동,16,8691038,30
F,서울시 구로구 고척2동,8,836106,50
M,서울시 강동구 길동,5,263767,35
F,서울시 중랑구 상봉2동,16,880439,30
M,서울시 성북구 돈암2동,14,48441,52
M,서울시 용산구 한남동,1,661805,67
M,서울시 동작구 노량진2동,15,94896,57
F,서울시 강서구 등촌1동,14,307365,52
F,서울시 성동구 마장동,3,573120,48
M,서울시 관악구 서림동,13,528535,60
M,서울시 양천구 목5동,14,383800,64
F,서울시 관악구 조원동,5,610943,28
M,서울시 동작구 상도3동,17,5161023,67
F,서울시 은평구 응암1동,3,397856,66
M,서울시 서대문구 홍1동,1,24943712,45
F,서울시 서초구 내곡동,11,8189492,67
F,서울시 서초구 방배3동,9,8017047,38
F,서울시 은평구 녹번동,5,610943,62
F,서울시 강남구 청담동,4,136204,61
M,서울시 금천구 문래동,5,633387,41
F,서울시 동대문구 전농1동,14,543933,63
F,서울시 도봉구 창1동,6,6189128,28
M,서울시 성북구 정릉1동,14,329148,52
M,서울시 은평구 신사1동,7,129646,30
M,서울시 강동구 명일1동,11,52290,32
F,서울시 금천구 대림3동,7,579364,59
M,서울시 양천구 목5동,3,356140,23
M,서울시 강북구 송천동,3,647602,46
F,서울시 도봉구 창4동,8,840937,52
F,서울시 강동구 둔촌2동,22,467313,69
M,서울시 서대문구 홍3동,12,101204,46
F,서울시 관악구 대학동,16,6722935,42
M,서울시 동대문구 제기동,2,441424,50
F,서울시 동대문구 전농2동,6,11921234,35
M,서울시 서대문구 연희동,5,8660337,23
F,서울시 성북구 삼선동,13,907306,23
M,서울시 용산구 원효로1동,14,12429400,49
M,서울시 서초구 양재1동,16,8691038,35
F,서울시 송파구 가락2동,3,394795,49
F,서울시 서대문구 북가좌2동,6,331111,52
M,서울시 송파구 잠실4동,2,675278,66
F,서울시 관악구 서림동,6,258933,47
M,서울시 관악구 청룡동,19,660909,57
F,서울시 중랑구 신내1동,7,268354,59
M,서울시 중랑구 상봉2동,17,4046378,53
M,서울시 양천구 신월1동,11,3916040,31
F,서울시 도봉구 도봉2동,17,7335791,36
F,서울시 양천구 목2동,7,4439805,60
F,서울시 중랑구 중화2동,4,659390,47
M,서울시 양천구 신정1동,10,8189142,40
F,서울시 금천구 시흥2동,1,4893819,25
F,서울시 송파구 삼전동,16,586134,43
F,서울시 강서구 등촌3동,15,352034,54
M,서울시 금천구 시흥1동,1,408863,44
F,서울시 양천구 목5동,7,3532623,63
M,서울시 동작구 대방동,15,318644,58
F,서울시 강남구 대치4동,6,823884,45
M,서울시 서대문구 홍1동,17,12429400,32
M,서울시 강남구 도곡1동,16,297012,34
F,서울시 도봉구 방학2동,3,370526801,44
F,서울시 양천구 목2동,16,637769,67
F,서울시 금천구 가산동,17,1742164,62
F,서울시 광진구 광장동,9,294685,54
F,서울시 강서구 화곡8동,10,511856,46
F,서울시 강동구 암사3동,13,5048394,30
M,서울시 양천구 신정3동,8,22475259,25
F,서울시 용산구 용산2가동,1,428788,63
F,서울시 송파구 가락2동,4,861964,58
F,서울시 서초구 반포4동,9,579364,50
F,서울시 중랑구 묵2동,5,864990,56
M,서울시 노원구 상계4동,8,604665,52
F,서울시 성동구 왕십리2동,17,416921,59
F,서울시 양천구 목2동,2,8117889,43
F,서울시 구로구 구로3동,8,875157,47
M,서울시 은평구 증산동,15,79751,43
M,서울시 금천구 당산1동,5,804564,42
M,서울시 마포구 공덕동,1,526154,41
F,서울시 강동구 상일동,19,178026,36
F,서울시 구로구 수궁동,12,140337,43
F,서울시 서대문구 북가좌2동,14,405409,41
M,서울시 강동구 천호2동,5,23150862,66
F,서울시 강남구 개포2동,3,85725,53
F,서울시 강남구 세곡동,5,21580174,42
M,서울시 은평구 응암3동,5,263767,33
F,서울시 광진구 구의3동,7,16610469,62
F,서울시 송파구 송파2동,1,4893819,32
F,서울시 중랑구 면목3동,17,5438358,57
F,서울시 강동구 길동,6,853782,58
M,서울시 송파구 잠실본동,17,868878,54
F,서울시 강남구 개포2동,9,9434886,38
F,서울시 성동구 옥수동,17,630474,25
F,서울시 도봉구 방학2동,7,4783318,64
F,서울시 서초구 방배2동,5,594229,38
F,서울시 강서구 가양1동,11,8598919,43
M,서울시 동대문구 장안2동,18,2661621,45
F,서울시 강동구 둔촌2동,7,129727,29
M,서울시 서초구 반포3동,5,634096,60
M,서울시 서초구 방배2동,15,1613015,54
F,서울시 구로구 구로4동,8,210113,46
M,서울시 은평구 응암1동,13,510280,38
M,서울시 양천구 신정3동,15,309864936,60
F,서울시 송파구 송파2동,18,462567,61
M,서울시 금천구 시흥1동,1,8941414,33
M,서울시 강북구 삼양동,6,678544,41
M,서울시 동대문구 이문1동,8,4413752,46
F,서울시 용산구 한남동,10,567344,27
F,서울시 강북구 수유1동,9,423188,42
M,서울시 금천구 당산2동,2,20646417,26
F,서울시 송파구 거여2동,5,900948,44
F,서울시 강동구 암사1동,15,24815465,25
F,서울시 용산구 이촌1동,10,381251,55
F,서울시 마포구 염리동,7,3532623,39
M,서울시 양천구 신정3동,6,762971,50
M,서울시 금천구 문래동,23,393070,46
M,서울시 강남구 신사동,2,328866,55
F,서울시 성동구 금호3가동,5,3108148,41
F,서울시 금천구 시흥2동,22,467313,62
F,서울시 강북구 미아동,9,9109251,31
M,서울시 송파구 거여2동,3,46581,30
F,서울시 관악구 행운동,14,907306,50
F,서울시 강동구 암사1동,10,875126,62
M,서울시 양천구 신정3동,9,5123046,51
M,서울시 중랑구 상봉2동,16,775131,36
F,서울시 동작구 노량진2동,16,4459135,53
F,서울시 중랑구 묵2동,14,598293,33
M,서울시 동대문구 휘경2동,18,1742164,30
M,서울시 은평구 갈현1동,4,9767650,41
F,서울시 관악구 인헌동,17,13236490,21
F,서울시 은평구 증산동,16,144388,45
M,서울시 강서구 방화3동,8,1837866,67
F,서울시 중랑구 면목4동,13,140337,57
M,서울시 강서구 등촌3동,5,804564,50
F,서울시 금천구 시흥5동,18,24532853,44
F,서울시 강동구 상일동,8,4783318,47
F,서울시 서대문구 홍은2동,6,678544,54
M,서울시 강서구 화곡3동,14,48441,62
M,서울시 금천구 시흥2동,9,588961,40
M,서울시 성북구 장위1동,6,1737886,54
F,서울시 광진구 자양3동,23,588698,42
F,서울시 강남구 일원1동,8,8094971,50
M,서울시 광진구 광장동,8,2283534,34
F,서울시 중랑구 묵2동,4,247742,57
F,서울시 은평구 진관동,3,863985,30
F,서울시 은평구 진관동,15,8961877,21
M,서울시 서대문구 충현동,5,263767,33
F,서울시 강서구 화곡1동,16,8017047,49
F,서울시 송파구 문정2동,7,8574873,36
F,서울시 강북구 수유1동,9,16127125,57
F,서울시 서초구 서초4동,20,391019,32
M,서울시 금천구 여의동,1,6883725,53
F,서울시 종로구 숭인1동,15,689448,63
M,서울시 동대문구 이문1동,12,952357,71
M,서울시 금천구 시흥1동,3,809440,52
F,서울시 서초구 방배3동,9,16127125,41
M,서울시 송파구 장지동,16,775131,41
F,서울시 중랑구 면목2동,5,14898788,66
F,서울시 양천구 신정4동,4,19522585,60
F,서울시 서초구 양재1동,8,754637,43
F,서울시 노원구 중계2동,12,775311,46
F,서울시 은평구 증산동,2,14898788,30
M,서울시 동작구 흑석동,1,17284463,39
F,서울시 강서구 발산1동,7,20402797,58
F,서울시 은평구 녹번동,12,29180982,45
M,서울시 강동구 둔촌2동,12,586924,47
F,서울시 성북구 월곡2동,8,1376499,43
M,서울시 양천구 신정7동,9,11973271,64
M,서울시 동대문구 휘경2동,3,173311,35
F,서울시 중랑구 신내2동,3,524996,47
F,서울시 강서구 화곡6동,13,8598919,36
F,서울시 관악구 행운동,9,414055,29
M,서울시 금천구 영등포본동,15,318644,45
M,서울시 금천구 도림동,5,6283253,58
F,서울시 서대문구 홍1동,12,400852,41
M,서울시 강동구 길동,16,635593,43
F,서울시 서초구 내곡동,15,745906,60
F,서울시 도봉구 방학1동,14,925521,48
M,서울시 은평구 응암3동,15,79751,52
M,서울시 강서구 공항동,13,48441,55
F,서울시 송파구 가락본동,2,5577833,57
M,서울시 관악구 서원동,3,129188,53
M,서울시 송파구 거여1동,19,959002,53
F,서울시 강남구 수서동,15,167951,41
F,서울시 강남구 세곡동,6,678544,23
M,서울시 관악구 청룡동,18,80691,44
M,서울시 강서구 등촌2동,2,15277198,71
F,서울시 강서구 화곡1동,14,698246,56
F,서울시 강남구 삼성2동,7,921528,70
M,서울시 금천구 영등포본동,13,28438488,46
M,서울시 동작구 흑석동,16,865417,54
M,서울시 강북구 삼양동,14,921333,27
F,서울시 도봉구 방학2동,12,1893555,32
F,서울시 동대문구 휘경2동,9,648901,54
M,서울시 중랑구 중화1동,14,209568,60
F,서울시 동대문구 장안1동,15,5237294,25
M,서울시 관악구 청림동,4,11855537,62
F,서울시 송파구 가락2동,16,589796,30
F,서울시 강서구 화곡본동,2,799121,50
F,서울시 강서구 가양1동,19,825714,45
F,서울시 송파구 가락본동,8,210113,58
F,서울시 광진구 중곡3동,3,7637614,37
F,서울시 서초구 반포본동,9,955143,43
M,서울시 양천구 신정3동,8,20437348,56
F,서울시 용산구 용산2가동,14,8591724,53
M,서울시 송파구 송파2동,16,929154,49
M,서울시 구로구 구로4동,16,4821558,54
F,서울시 강서구 가양1동,2,545252,58
F,서울시 서초구 반포본동,6,7319485,25
M,서울시 강서구 화곡1동,16,1427992,26
M,서울시 노원구 공릉2동,12,50237672,44
M,서울시 서초구 양재2동,1,824027,67
F,서울시 서초구 방배2동,17,3510962,50
F,서울시 노원구 상계2동,7,16610469,39
F,서울시 구로구 구로2동,16,297012,28
F,서울시 강북구 수유1동,18,98760,66
F,서울시 은평구 응암3동,17,690266,63
F,서울시 강동구 성내1동,2,14573172,34
M,서울시 송파구 장지동,17,272012,52
F,서울시 성동구 왕십리2동,1,428788,57
M,서울시 강북구 번2동,15,29666474,61
F,서울시 도봉구 창5동,5,2950074,39
F,서울시 은평구 대조동,3,845245,32
M,서울시 금천구 양평2동,4,714927,61
F,서울시 중랑구 신내1동,15,865417,22
F,서울시 강남구 개포4동,16,982439,33
M,서울시 중랑구 중화1동,2,20646417,69
M,서울시 동대문구 이문1동,8,515430,40
M,서울시 송파구 거여1동,5,6283253,58
F,서울시 구로구 수궁동,7,20402797,57
F,서울시 중구 장충동,9,754637,29
