attrition_flag,dependent_count,marital_status,income_category,card_category,credit_limit_NaN,credit_limit,education_level
Existing Customer,2,Married,$80K - $120K,Blue,0,9366.0,College
Existing Customer,3,Single,$80K - $120K,Blue,0,21617.0,High School
Existing Customer,1,Married,Unknown,Blue,0,13860.0,Graduate
Existing Customer,1,Single,$40K - $60K,Silver,0,18386.0,Uneducated
Existing Customer,4,Single,$60K - $80K,Blue,0,2405.0,High School
Existing Customer,1,Married,Less than $40K,Blue,0,2154.0,High School
Existing Customer,5,Married,$40K - $60K,Blue,0,2038.0,Uneducated
Existing Customer,4,Single,$40K - $60K,Blue,0,8135.0,Uneducated
Existing Customer,1,Married,$120K +,Blue,0,9364.0,High School
Existing Customer,2,Married,Unknown,Silver,0,32643.0,Graduate
Existing Customer,4,Divorced,Less than $40K,Blue,0,3195.0,Graduate
Existing Customer,0,Married,$80K - $120K,Blue,0,2852.0,Post-Graduate
Existing Customer,1,Single,Unknown,Blue,0,4224.0,High School
Existing Customer,1,Married,$60K - $80K,Blue,0,20459.0,Graduate
Existing Customer,4,Divorced,Less than $40K,Blue,0,3482.0,High School
Existing Customer,4,Married,$40K - $60K,Blue,0,3065.0,High School
Existing Customer,3,Married,Less than $40K,Blue,0,2185.0,Graduate
Existing Customer,3,Married,Less than $40K,Blue,0,1611.0,Graduate
Existing Customer,4,Married,Less than $40K,Blue,0,2822.0,College
Attrited Customer,5,Single,$80K - $120K,Blue,0,32975.0,High School
Existing Customer,3,Married,$60K - $80K,Blue,0,1438.3,Graduate
Existing Customer,4,Divorced,Unknown,Blue,0,15875.0,Uneducated
Existing Customer,1,Married,Less than $40K,Blue,0,6703.0,Graduate
Attrited Customer,2,Married,$80K - $120K,Blue,0,3212.0,Doctorate
Existing Customer,2,Married,$80K - $120K,Silver,0,34516.0,Graduate
Existing Customer,3,Married,$40K - $60K,Blue,0,9797.0,Graduate
Existing Customer,5,Divorced,$40K - $60K,Blue,0,10400.0,Unknown
Existing Customer,3,Married,$80K - $120K,Blue,0,26792.0,Graduate
Existing Customer,1,Married,Less than $40K,Blue,0,3006.0,Uneducated
Existing Customer,2,Single,$40K - $60K,Silver,0,19482.0,Unknown
Existing Customer,1,Married,$40K - $60K,Blue,0,3356.0,College
Existing Customer,2,Married,$40K - $60K,Blue,0,5771.0,High School
Existing Customer,3,Married,$80K - $120K,Blue,0,11106.0,Graduate
Existing Customer,1,Married,Less than $40K,Blue,0,2890.0,Graduate
Existing Customer,1,Married,$60K - $80K,Blue,0,3380.0,High School
Existing Customer,3,Married,$60K - $80K,Blue,0,21331.0,Post-Graduate
Existing Customer,3,Single,Unknown,Blue,0,12860.0,Uneducated
Existing Customer,3,Single,$80K - $120K,Blue,0,6278.0,Graduate
Existing Customer,0,Single,Less than $40K,Blue,0,1438.3,Unknown
Existing Customer,2,Married,Less than $40K,Blue,0,9355.0,Uneducated
Existing Customer,2,Married,Unknown,Blue,0,20758.0,Graduate
Existing Customer,1,Married,$80K - $120K,Blue,0,14612.0,Graduate
Existing Customer,4,Unknown,$80K - $120K,Blue,0,27259.0,High School
Existing Customer,3,Married,Less than $40K,Blue,0,6347.0,Uneducated
Existing Customer,3,Married,$120K +,Blue,0,21592.0,Post-Graduate
Existing Customer,5,Married,Less than $40K,Blue,0,3449.0,Unknown
Existing Customer,3,Married,Less than $40K,Blue,0,6028.0,Unknown
Existing Customer,0,Unknown,$120K +,Blue,0,18214.0,High School
Existing Customer,3,Married,$80K - $120K,Blue,0,16393.0,Graduate
Attrited Customer,0,Married,Less than $40K,Blue,0,1438.3,Doctorate
Existing Customer,1,Married,$60K - $80K,Blue,0,7871.0,High School
Existing Customer,4,Married,$80K - $120K,Blue,0,5288.0,High School
Existing Customer,5,Married,$60K - $80K,Blue,0,11376.0,High School
Existing Customer,3,Married,$80K - $120K,Blue,0,12302.0,Graduate
Existing Customer,4,Married,$60K - $80K,Silver,0,34516.0,High School
Existing Customer,2,Married,$60K - $80K,Silver,0,34516.0,Post-Graduate
Existing Customer,1,Divorced,Less than $40K,Silver,0,10514.0,Graduate
Attrited Customer,2,Married,Less than $40K,Blue,0,1438.3,Uneducated
Attrited Customer,2,Married,$60K - $80K,Blue,0,1438.3,Unknown
Existing Customer,1,Married,$40K - $60K,Blue,0,2619.0,Doctorate
Existing Customer,2,Married,$120K +,Blue,0,24407.0,Unknown
Existing Customer,2,Married,Less than $40K,Blue,0,2377.0,Graduate
Existing Customer,0,Unknown,$80K - $120K,Silver,0,34516.0,Doctorate
Existing Customer,3,Married,$120K +,Blue,0,11086.0,College
Existing Customer,3,Single,$60K - $80K,Blue,0,11432.0,Unknown
Existing Customer,4,Married,$40K - $60K,Blue,0,13258.0,Unknown
Existing Customer,2,Single,Less than $40K,Blue,0,2571.0,Graduate
Existing Customer,4,Single,Less than $40K,Blue,0,5781.0,Uneducated
Existing Customer,4,Married,$60K - $80K,Blue,0,7872.0,Uneducated
Existing Customer,3,Married,$80K - $120K,Blue,0,34516.0,High School
Existing Customer,3,Divorced,Less than $40K,Silver,0,11127.0,Unknown
Existing Customer,2,Single,$40K - $60K,Blue,0,1857.0,High School
Existing Customer,1,Married,Less than $40K,Blue,0,1913.0,Graduate
Existing Customer,4,Single,$80K - $120K,Blue,0,3839.0,College
Existing Customer,3,Divorced,$40K - $60K,Blue,0,2115.0,Uneducated
Existing Customer,2,Divorced,Less than $40K,Blue,0,1438.3,Graduate
Existing Customer,2,Single,$80K - $120K,Blue,0,27756.0,Unknown
Existing Customer,3,Single,$60K - $80K,Blue,0,1438.3,Graduate
Existing Customer,2,Divorced,Less than $40K,Silver,0,13878.0,Post-Graduate
Existing Customer,2,Married,Less than $40K,Blue,0,3106.0,Uneducated
Existing Customer,2,Married,$120K +,Blue,0,34516.0,Uneducated
Attrited Customer,1,Married,$40K - $60K,Blue,0,1438.3,Graduate
Existing Customer,2,Married,$80K - $120K,Blue,0,18871.0,Graduate
Existing Customer,5,Single,$120K +,Blue,0,5207.0,Uneducated
Existing Customer,3,Divorced,$80K - $120K,Blue,0,17965.0,Unknown
Existing Customer,1,Single,$60K - $80K,Blue,0,2733.0,College
Existing Customer,2,Married,$60K - $80K,Blue,0,8863.0,Graduate
Attrited Customer,1,Married,$80K - $120K,Blue,0,1857.0,College
Existing Customer,3,Unknown,$80K - $120K,Blue,0,34516.0,Graduate
Existing Customer,2,Married,$40K - $60K,Blue,0,11107.0,Graduate
Existing Customer,4,Single,$80K - $120K,Blue,0,21573.0,Doctorate
Attrited Customer,2,Married,Less than $40K,Blue,0,2859.0,College
Existing Customer,2,Single,$80K - $120K,Blue,0,5269.0,High School
Attrited Customer,5,Married,$40K - $60K,Blue,0,1438.3,High School
Attrited Customer,2,Married,Less than $40K,Blue,0,3387.0,Graduate
Existing Customer,2,Married,$80K - $120K,Blue,0,1982.0,Graduate
Existing Customer,3,Single,$80K - $120K,Blue,0,4645.0,Graduate
Existing Customer,3,Single,Unknown,Blue,0,2189.0,Doctorate
Attrited Customer,4,Married,$120K +,Blue,0,2442.0,Uneducated
Existing Customer,3,Married,$60K - $80K,Blue,0,21304.0,College
Existing Customer,2,Single,$60K - $80K,Blue,0,7577.0,Uneducated
Existing Customer,3,Single,$120K +,Blue,0,3234.0,High School
Existing Customer,0,Married,$40K - $60K,Blue,0,4469.0,Unknown
Existing Customer,3,Unknown,$40K - $60K,Blue,0,2910.0,Graduate
Attrited Customer,0,Single,$40K - $60K,Blue,0,3616.0,Uneducated
Existing Customer,0,Married,Less than $40K,Blue,0,3252.0,High School
Existing Customer,2,Married,Less than $40K,Blue,0,2358.0,College
Existing Customer,4,Single,$60K - $80K,Blue,0,22322.0,Uneducated
Existing Customer,1,Single,$120K +,Blue,0,3133.0,Unknown
Existing Customer,2,Single,$40K - $60K,Blue,0,3540.0,Doctorate
Existing Customer,1,Married,$40K - $60K,Blue,0,6990.0,High School
Existing Customer,2,Unknown,$80K - $120K,Blue,0,34516.0,High School
Attrited Customer,0,Married,$40K - $60K,Blue,0,1438.3,College
Existing Customer,4,Married,$60K - $80K,Blue,0,24396.0,College
Existing Customer,1,Married,Less than $40K,Blue,0,2474.0,College
Existing Customer,2,Married,$40K - $60K,Blue,0,5214.0,Unknown
Existing Customer,2,Married,Less than $40K,Blue,0,5207.0,Graduate
Existing Customer,3,Unknown,Less than $40K,Blue,0,9512.0,College
Existing Customer,4,Divorced,Unknown,Blue,0,3187.0,Unknown
Attrited Customer,0,Married,$40K - $60K,Blue,0,3353.0,Doctorate
Existing Customer,5,Married,$60K - $80K,Blue,0,2290.0,Uneducated
Existing Customer,3,Single,$40K - $60K,Blue,0,5279.0,Unknown
Existing Customer,2,Divorced,$60K - $80K,Blue,0,23603.0,High School
Existing Customer,0,Married,$40K - $60K,Blue,0,2601.0,Post-Graduate
Existing Customer,4,Single,$80K - $120K,Blue,0,6363.0,Graduate
Existing Customer,3,Single,$80K - $120K,Blue,0,8029.0,Graduate
Existing Customer,4,Married,Less than $40K,Blue,0,2410.0,Post-Graduate
Attrited Customer,2,Single,$60K - $80K,Blue,0,3401.0,Unknown
Existing Customer,4,Married,Less than $40K,Blue,0,2260.0,Unknown
Existing Customer,4,Divorced,$80K - $120K,Blue,0,17682.0,Graduate
Existing Customer,4,Married,$40K - $60K,Blue,0,4206.0,Graduate
Existing Customer,1,Single,$80K - $120K,Silver,0,34516.0,Uneducated
Existing Customer,4,Unknown,$80K - $120K,Blue,0,23018.0,High School
Existing Customer,1,Married,$40K - $60K,Blue,0,5556.0,Unknown
Attrited Customer,2,Married,Unknown,Blue,0,6094.0,High School
Existing Customer,0,Married,$40K - $60K,Blue,0,2939.0,Graduate
Existing Customer,0,Married,$80K - $120K,Blue,0,5362.0,Graduate
Attrited Customer,2,Married,$120K +,Blue,0,27126.0,Unknown
Existing Customer,4,Single,Less than $40K,Blue,0,3342.0,Graduate
Attrited Customer,4,Married,Unknown,Blue,0,2532.0,High School
Existing Customer,3,Married,Unknown,Blue,0,1900.0,Unknown
Existing Customer,3,Single,$60K - $80K,Blue,0,14546.0,Graduate
Existing Customer,4,Single,Unknown,Blue,0,2521.0,High School
Existing Customer,2,Married,$60K - $80K,Blue,0,16427.0,High School
Existing Customer,2,Unknown,$40K - $60K,Blue,0,13068.0,Doctorate
Existing Customer,2,Single,$60K - $80K,Blue,0,23218.0,Graduate
Existing Customer,0,Married,$40K - $60K,Blue,0,3281.0,Post-Graduate
Existing Customer,2,Married,$40K - $60K,Blue,0,3096.0,Graduate
Existing Customer,0,Married,$40K - $60K,Blue,0,2052.0,Post-Graduate
Existing Customer,1,Unknown,Less than $40K,Blue,0,1438.3,Graduate
Existing Customer,3,Single,$40K - $60K,Blue,0,9432.0,Doctorate
Existing Customer,0,Single,$120K +,Silver,0,14938.0,Graduate
Existing Customer,2,Married,$60K - $80K,Blue,0,2221.0,Graduate
Existing Customer,3,Divorced,$60K - $80K,Blue,0,5731.0,Uneducated
Existing Customer,4,Married,$60K - $80K,Gold,0,34516.0,Graduate
Existing Customer,3,Married,$60K - $80K,Blue,0,6985.0,Post-Graduate
Existing Customer,2,Married,$120K +,Blue,0,24221.0,Graduate
Existing Customer,3,Married,Unknown,Blue,0,15439.0,Unknown
Existing Customer,4,Single,$80K - $120K,Blue,0,21637.0,Unknown
Existing Customer,2,Single,$120K +,Blue,0,14543.0,High School
Existing Customer,4,Married,Less than $40K,Blue,0,9684.0,College
Existing Customer,2,Married,$40K - $60K,Blue,0,5007.0,Uneducated
Existing Customer,0,Married,$60K - $80K,Blue,0,1616.0,High School
Existing Customer,2,Single,$60K - $80K,Blue,0,19116.0,High School
Existing Customer,3,Married,Less than $40K,Blue,0,2759.0,Unknown
Attrited Customer,3,Married,$120K +,Blue,0,8249.0,Graduate
Existing Customer,2,Single,Unknown,Blue,0,14041.0,Graduate
Existing Customer,3,Married,$60K - $80K,Blue,0,5264.0,Uneducated
Existing Customer,0,Married,Less than $40K,Blue,0,2420.0,Graduate
Existing Customer,4,Married,Less than $40K,Blue,0,2826.0,Graduate
Existing Customer,2,Married,$80K - $120K,Blue,0,12518.0,Doctorate
Existing Customer,0,Married,$40K - $60K,Blue,0,5876.0,Unknown
Existing Customer,3,Single,$80K - $120K,Silver,0,34516.0,Uneducated
Existing Customer,2,Divorced,Less than $40K,Blue,0,9648.0,Uneducated
Existing Customer,2,Single,$80K - $120K,Silver,0,34516.0,Graduate
Existing Customer,2,Married,Unknown,Blue,0,3025.0,College
Existing Customer,3,Married,$60K - $80K,Blue,0,3265.0,Graduate
Existing Customer,1,Married,$120K +,Blue,0,6041.0,High School
Existing Customer,2,Married,Less than $40K,Blue,0,2293.0,Graduate
Existing Customer,3,Unknown,$80K - $120K,Blue,0,13399.0,High School
Existing Customer,3,Married,Less than $40K,Blue,0,4317.0,Uneducated
Existing Customer,3,Single,$40K - $60K,Blue,0,3378.0,Graduate
Existing Customer,1,Single,Less than $40K,Blue,0,5012.0,College
Existing Customer,4,Single,Less than $40K,Blue,0,2569.0,High School
Existing Customer,1,Single,Less than $40K,Blue,0,3471.0,College
Existing Customer,5,Divorced,$120K +,Silver,0,34516.0,High School
Existing Customer,1,Married,$120K +,Blue,0,3312.0,Uneducated
Existing Customer,1,Married,Less than $40K,Blue,0,2578.0,Graduate
Attrited Customer,2,Married,$40K - $60K,Blue,0,2902.0,Uneducated
Existing Customer,3,Married,Less than $40K,Blue,0,2742.0,Uneducated
Existing Customer,1,Married,Less than $40K,Blue,0,2077.0,Unknown
Existing Customer,4,Single,Less than $40K,Blue,0,6265.0,College
Existing Customer,2,Married,$60K - $80K,Blue,0,7819.0,High School
Existing Customer,3,Single,$80K - $120K,Blue,0,2731.0,High School
Attrited Customer,1,Married,$40K - $60K,Blue,0,1438.3,Graduate
Existing Customer,0,Married,$80K - $120K,Blue,0,16286.0,Post-Graduate
Existing Customer,1,Married,$120K +,Blue,0,34516.0,High School
Existing Customer,3,Married,Less than $40K,Blue,0,2609.0,Uneducated
Existing Customer,2,Single,$60K - $80K,Blue,0,7567.0,Graduate
Existing Customer,5,Married,$60K - $80K,Blue,0,22770.0,Unknown
Existing Customer,0,Married,Less than $40K,Blue,0,3791.0,Doctorate
Existing Customer,2,Married,Less than $40K,Blue,0,2702.0,Unknown
Existing Customer,3,Divorced,Less than $40K,Blue,0,2555.0,Graduate
Existing Customer,3,Married,$80K - $120K,Blue,0,2355.0,Uneducated
Existing Customer,2,Single,$40K - $60K,Blue,0,5332.0,College
Existing Customer,1,Single,$40K - $60K,Blue,0,1443.0,Uneducated
Existing Customer,4,Single,$60K - $80K,Blue,0,10741.0,Unknown
Existing Customer,1,Married,$60K - $80K,Blue,0,7984.0,High School
Existing Customer,3,Single,$60K - $80K,Blue,0,18584.0,Graduate
Existing Customer,0,Married,Unknown,Blue,0,5585.0,High School
Existing Customer,2,Married,$80K - $120K,Blue,0,34516.0,Unknown
Existing Customer,1,Married,Less than $40K,Blue,0,1438.3,Unknown
Existing Customer,2,Single,$80K - $120K,Blue,0,2478.0,Graduate
Existing Customer,4,Single,$120K +,Blue,0,34516.0,Unknown
Existing Customer,2,Married,$40K - $60K,Blue,0,2339.0,Unknown
Existing Customer,2,Married,Less than $40K,Blue,0,2726.0,Graduate
Existing Customer,4,Married,$120K +,Blue,0,14881.0,High School
Existing Customer,4,Married,$40K - $60K,Blue,0,1628.0,Unknown
Existing Customer,2,Married,Less than $40K,Blue,0,3156.0,High School
Existing Customer,2,Single,Less than $40K,Blue,0,4745.0,Uneducated
Existing Customer,2,Married,$120K +,Blue,0,19727.0,Graduate
Existing Customer,0,Married,$60K - $80K,Blue,0,22720.0,High School
Existing Customer,4,Married,$40K - $60K,Blue,0,8129.0,Graduate
Existing Customer,4,Single,Less than $40K,Blue,0,3751.0,High School
Existing Customer,4,Married,Less than $40K,Blue,0,1594.0,College
Existing Customer,1,Single,Less than $40K,Blue,0,2569.0,Graduate
Existing Customer,4,Single,Unknown,Blue,0,18206.0,Graduate
Existing Customer,4,Married,$40K - $60K,Blue,0,3104.0,Graduate
Existing Customer,3,Married,$40K - $60K,Blue,0,2406.0,Graduate
Existing Customer,1,Married,$80K - $120K,Blue,0,24571.0,High School
Existing Customer,3,Single,Less than $40K,Gold,0,15534.0,Graduate
Existing Customer,2,Married,Less than $40K,Silver,0,12301.0,Graduate
Existing Customer,4,Married,$80K - $120K,Blue,0,2846.0,High School
Existing Customer,2,Unknown,$120K +,Blue,0,9788.0,College
Existing Customer,2,Married,$60K - $80K,Blue,0,7231.0,Graduate
Existing Customer,1,Married,Less than $40K,Blue,0,2324.0,High School
Existing Customer,2,Married,$80K - $120K,Blue,0,12208.0,High School
Attrited Customer,4,Unknown,$80K - $120K,Blue,0,5639.0,Doctorate
Existing Customer,1,Married,$60K - $80K,Blue,0,10021.0,Graduate
Existing Customer,0,Married,Less than $40K,Blue,0,2215.0,Graduate
Existing Customer,2,Married,Less than $40K,Blue,0,2027.0,College
Existing Customer,2,Married,$60K - $80K,Blue,0,6363.0,Graduate
Existing Customer,3,Single,Less than $40K,Blue,0,3920.0,College
Existing Customer,3,Married,$60K - $80K,Blue,0,9226.0,High School
Existing Customer,4,Divorced,Less than $40K,Blue,0,9376.0,High School
Existing Customer,1,Married,$40K - $60K,Blue,0,1944.0,College
