age,address,trade_term,recept_balance,gender
54,서울시 강서구 가양2동,19,15060319,F
62,서울시 서대문구 홍1동,10,875126,F
25,서울시 도봉구 창5동,10,3146111,F
57,서울시 은평구 응암3동,16,26844,M
64,서울시 성북구 정릉2동,12,62972422,F
34,서울시 관악구 은천동,3,266304,M
25,서울시 강동구 상일동,15,6512717,F
37,서울시 금천구 양평1동,4,277354,F
53,서울시 금천구 대림2동,6,611891,M
46,서울시 강동구 명일1동,3,531530,M
42,서울시 강동구 둔촌2동,8,26620,M
45,서울시 은평구 구산동,3,493590,F
58,서울시 구로구 개봉2동,19,972355,F
47,서울시 은평구 증산동,7,579364,F
58,서울시 양천구 신정1동,18,9285179,M
54,서울시 노원구 공릉2동,14,947226,M
59,서울시 동대문구 답십리2동,17,425508,F
57,서울시 도봉구 도봉2동,12,4240661,M
34,서울시 송파구 잠실2동,12,5070377,F
55,서울시 성동구 송정동,7,125104,M
56,서울시 금천구 당산1동,5,769310,F
39,서울시 구로구 고척2동,10,65947,F
65,서울시 광진구 자양3동,3,23207001,F
51,서울시 은평구 역촌동,3,493590,M
67,서울시 서초구 서초4동,20,9112739,F
44,서울시 성북구 안암동,18,743608,F
55,서울시 송파구 잠실3동,7,957069,M
39,서울시 동대문구 장안1동,10,5237294,F
52,서울시 서대문구 천연동,19,9382968,M
22,서울시 서초구 잠원동,5,136204,F
64,서울시 금천구 여의동,12,829033,M
27,서울시 강북구 삼양동,17,248993,F
44,서울시 양천구 목2동,11,590311,F
24,서울시 동작구 대방동,9,19864,F
54,서울시 은평구 신사1동,15,689448,F
43,서울시 금천구 시흥2동,5,3423922,M
50,서울시 양천구 신정7동,6,9253175,M
48,서울시 강서구 방화3동,16,6912711,F
49,서울시 성동구 왕십리도선동,16,251564,F
54,서울시 강남구 논현1동,9,921442,M
50,서울시 마포구 망원1동,8,2355003,M
41,서울시 송파구 위례동,4,245439,M
70,서울시 송파구 송파1동,4,661805,M
29,서울시 성동구 성수2가1동,2,2717691,M
70,서울시 금천구 문래동,2,739720,F
52,서울시 송파구 석촌동,19,644303,M
35,서울시 강동구 암사3동,9,304655,F
26,서울시 동대문구 장안1동,16,959819,M
63,서울시 구로구 구로4동,21,588698,M
22,서울시 중랑구 묵2동,12,318644,M
68,서울시 관악구 미성동,11,115997,F
39,서울시 종로구 창신3동,10,653984,F
46,서울시 관악구 은천동,3,851265,M
52,서울시 광진구 자양4동,18,4559120,F
53,서울시 성동구 행당2동,6,258933,M
37,서울시 금천구 여의동,1,8941414,M
53,서울시 동작구 상도4동,6,6189128,F
40,서울시 서초구 잠원동,5,429123,M
29,서울시 성북구 정릉2동,8,26402854,M
44,서울시 서대문구 연희동,11,973030,F
55,서울시 금천구 양평1동,9,138285,M
52,서울시 관악구 청림동,19,4559120,M
57,서울시 광진구 군자동,1,88358,F
51,서울시 마포구 신수동,24,2799952,M
70,서울시 동작구 신대방2동,8,836106,M
42,서울시 중랑구 신내1동,7,8189142,F
42,서울시 서초구 반포본동,15,884137,F
68,서울시 관악구 신원동,11,4426458,M
38,서울시 양천구 신정4동,10,840937,F
33,서울시 노원구 공릉1동,3,3946151,M
69,서울시 서초구 내곡동,11,7138181,M
23,서울시 광진구 광장동,10,682794,F
32,서울시 노원구 상계2동,13,850764,M
69,서울시 종로구 혜화동,10,807390,F
50,서울시 관악구 보라매동,16,589796,M
70,서울시 양천구 목5동,10,807390,M
59,서울시 동작구 노량진1동,5,7736475,F
24,서울시 송파구 방이1동,14,867267,F
43,서울시 강남구 삼성2동,10,275476,M
45,서울시 구로구 구로1동,14,147495,F
49,서울시 성북구 월곡2동,20,718045,F
38,서울시 은평구 응암3동,5,223356,F
56,서울시 마포구 대흥동,11,952357,M
50,서울시 서대문구 북가좌2동,17,331111,M
66,서울시 성북구 월곡2동,5,274489,M
54,서울시 강북구 송천동,3,3301075,M
36,서울시 도봉구 방학3동,2,900948,F
45,서울시 관악구 삼성동,14,3916040,F
25,서울시 강동구 상일동,15,6512717,M
56,서울시 성북구 돈암1동,2,9300196,F
50,서울시 서대문구 북가좌2동,17,331111,F
47,서울시 마포구 성산1동,13,4614120,F
68,서울시 동대문구 제기동,11,6815864,F
57,서울시 송파구 삼전동,9,28781,F
45,서울시 은평구 진관동,8,542772,M
54,서울시 강서구 발산1동,13,3860266,M
46,서울시 강동구 명일1동,17,6951875,M
63,서울시 강서구 공항동,13,700108,F
54,서울시 강남구 논현1동,14,29174749,F
28,서울시 도봉구 방학2동,6,610752,F
57,서울시 도봉구 도봉2동,4,334335,F
54,서울시 강남구 논현1동,16,717265,M
39,서울시 강서구 공항동,3,845245,F
25,서울시 노원구 월계2동,19,309961,M
70,서울시 금천구 독산3동,17,2661621,F
37,서울시 양천구 신월1동,8,45108,M
23,서울시 동대문구 청량리동,6,406997,M
60,서울시 구로구 수궁동,19,600256,M
23,서울시 용산구 한강로동,19,787361,F
57,서울시 구로구 가리봉동,3,647602,M
34,서울시 중랑구 면목3동,9,990950,M
44,서울시 서대문구 충현동,14,356838,M
58,서울시 성동구 행당2동,8,925875,F
37,서울시 양천구 신월1동,19,177987,F
52,서울시 도봉구 창1동,13,908489,M
66,서울시 용산구 한남동,12,829033,F
46,서울시 도봉구 창2동,4,851265,M
32,서울시 송파구 잠실본동,13,8017047,F
37,서울시 금천구 문래동,12,739720,M
21,서울시 강서구 공항동,3,4436249,F
57,서울시 강남구 삼성1동,11,882673,M
70,서울시 금천구 독산3동,1,991966,F
44,서울시 서대문구 연희동,14,26685,M
25,서울시 강북구 번1동,7,28534782,F
45,서울시 양천구 신월1동,1,491206,M
37,서울시 서대문구 북가좌2동,8,931621,M
47,서울시 성북구 장위2동,14,987879,M
33,서울시 금천구 시흥1동,3,1315002,F
54,서울시 노원구 공릉2동,5,6824470,F
50,서울시 노원구 하계1동,3,757951,F
57,서울시 강북구 수유3동,18,7712104,M
29,서울시 서대문구 홍3동,11,709256,F
34,서울시 송파구 잠실본동,1,2610177,M
24,서울시 구로구 고척1동,18,607217,F
58,서울시 종로구 종로1가,7,96071082,F
41,서울시 강서구 화곡6동,5,920543,F
34,서울시 강동구 성내3동,16,25083,M
45,서울시 관악구 삼성동,16,617293,M
40,서울시 서대문구 신촌동,1,24375307,F
20,서울시 서대문구 홍2동,7,1937677,F
32,서울시 성북구 정릉3동,13,850764,F
26,서울시 양천구 신월3동,4,864990,M
30,서울시 강서구 발산1동,4,223091,M
36,서울시 강남구 세곡동,8,232612,F
58,서울시 양천구 신정1동,13,209568,M
24,서울시 강남구 대치4동,19,233148,F
52,서울시 도봉구 창1동,9,5546286,F
54,서울시 용산구 한강로동,5,1546922,M
38,서울시 강남구 삼성2동,9,165052,M
23,서울시 강동구 천호2동,5,587905,F
58,서울시 양천구 신정1동,5,2286545,F
40,서울시 동대문구 전농2동,1,24943712,M
67,서울시 은평구 응암1동,11,324360,M
24,서울시 강서구 화곡1동,20,438369,F
29,서울시 은평구 응암3동,4,333138,F
29,서울시 성동구 행당2동,19,9277984,F
67,서울시 서대문구 홍3동,5,981859,F
35,서울시 강동구 암사3동,9,251928,F
51,서울시 은평구 역촌동,24,2799952,M
55,서울시 강동구 강일동,3,46581,F
57,서울시 강동구 천호2동,16,3463291,M
54,서울시 서대문구 연희동,13,3860266,F
34,서울시 성북구 동선동,11,304655,M
42,서울시 은평구 갈현1동,13,480942,M
34,서울시 중랑구 면목7동,12,542008,F
56,서울시 노원구 상계8동,2,885277,M
66,서울시 용산구 한남동,16,713868,M
24,서울시 강남구 대치4동,16,59693,F
26,서울시 동대문구 청량리동,11,414055,F
30,서울시 금천구 독산1동,10,709256,M
65,서울시 서초구 방배2동,15,3703071,M
24,서울시 중랑구 상봉1동,3,28514406,F
44,서울시 양천구 신정3동,15,20437348,F
66,서울시 강서구 화곡1동,10,1562918,M
29,서울시 서대문구 홍3동,15,533026,M
61,서울시 강서구 화곡2동,7,96071082,F
49,서울시 성북구 월곡2동,1,284553,F
70,서울시 성북구 안암동,12,219864,F
53,서울시 금천구 시흥5동,15,28345067,M
44,서울시 서초구 방배3동,11,973030,F
30,서울시 양천구 목3동,3,7637614,M
36,서울시 송파구 거여2동,14,5048394,M
36,서울시 금천구 신길3동,12,577732,F
33,서울시 노원구 공릉1동,9,214712,F
46,서울시 동작구 노량진1동,3,863985,M
38,서울시 구로구 구로2동,9,840937,M
59,서울시 동작구 노량진1동,9,7495439,M
23,서울시 강동구 천호2동,11,10758538,M
45,서울시 광진구 군자동,11,462567,M
56,서울시 중랑구 신내2동,15,4438877,M
24,서울시 양천구 신정2동,1,98099,F
24,서울시 양천구 신정2동,16,309961,M
22,서울시 관악구 중앙동,7,6364293,M
22,서울시 중랑구 묵2동,12,729459,F
42,서울시 은평구 갈현1동,4,8621945,F
27,서울시 성북구 길음2동,11,9012047,M
20,서울시 강남구 삼성2동,15,729459,F
30,서울시 금천구 시흥5동,12,1893555,M
21,서울시 성북구 종암동,7,506519,M
43,서울시 강서구 가양1동,11,8598919,F
42,서울시 강남구 역삼2동,7,921528,M
45,서울시 은평구 구산동,19,617293,M
41,서울시 강남구 대치1동,10,921528,F
68,서울시 은평구 응암3동,14,5118899,M
46,서울시 동작구 노량진1동,9,407848,F
23,서울시 용산구 한강로동,13,318644,F
59,서울시 동대문구 답십리2동,16,3539418,M
66,서울시 은평구 신사1동,10,324360,F
56,서울시 노원구 하계1동,4,915346,F
68,서울시 관악구 신원동,14,67196,F
50,서울시 양천구 목1동,4,283148,M
61,서울시 송파구 잠실6동,6,823884,M
62,서울시 서대문구 홍1동,16,929154,F
62,서울시 중랑구 면목7동,9,7275786,M
42,서울시 중랑구 면목5동,15,3413716,M
23,서울시 서대문구 북가좌2동,6,674086,M
40,서울시 도봉구 창5동,5,429123,F
58,서울시 중랑구 면목4동,2,85725,F
30,서울시 동대문구 전농1동,17,527308,M
58,서울시 구로구 개봉2동,4,104651,M
40,서울시 성북구 성북동,7,698761,F
28,서울시 성동구 성수2가3동,13,1893555,M
64,서울시 중랑구 묵1동,13,803698,M
59,서울시 중랑구 상봉2동,9,19512419,M
53,서울시 성동구 행당2동,10,664601,F
64,서울시 금천구 대림3동,9,494724,M
45,서울시 금천구 시흥1동,6,3043939,F
60,서울시 강동구 암사1동,7,3885329,F
63,서울시 구로구 구로2동,1,4747603,F
67,서울시 도봉구 창4동,4,871237,F
64,서울시 양천구 목2동,15,539823,M
39,서울시 성북구 장위1동,15,334936,M
32,서울시 송파구 문정2동,3,3290306,F
52,서울시 양천구 신정7동,7,586526,F
41,서울시 성북구 돈암2동,6,465764,F
40,서울시 강서구 우장산동,2,5577833,M
42,서울시 양천구 신정3동,7,22475259,F
27,서울시 강북구 삼양동,12,660958,F
26,서울시 노원구 공릉2동,11,8483718,F
21,서울시 광진구 자양1동,1,317036,F
39,서울시 광진구 중곡3동,3,658065,F
68,서울시 동대문구 제기동,16,658829,M
54,서울시 용산구 한강로동,12,26256297,M
56,서울시 종로구 숭인1동,9,12701270,F
53,서울시 관악구 은천동,9,656067,F
60,서울시 은평구 역촌동,10,7275786,F
66,서울시 강서구 화곡1동,14,690985,F
47,서울시 금천구 독산1동,5,804564,M
39,서울시 은평구 대조동,11,65947,M
64,서울시 송파구 오금동,19,632274,M
26,서울시 양천구 신월3동,4,247742,M
55,서울시 구로구 고척2동,23,383135873,F
59,서울시 강서구 염창동,4,979055,M
47,서울시 성북구 장위2동,12,8591724,F
63,서울시 구로구 구로4동,18,7055790,F
45,서울시 금천구 당산2동,11,827192,M
60,서울시 은평구 응암1동,5,7736475,M
42,서울시 성북구 월곡2동,15,117950264,M
58,서울시 송파구 장지동,8,6134758,M
21,서울시 금천구 양평2동,3,5260714,M
48,서울시 관악구 인헌동,1,6883725,M
62,서울시 강서구 화곡1동,8,1069310,M
53,서울시 강서구 화곡1동,9,690985,M
67,서울시 은평구 신사1동,18,265036,F
44,서울시 성북구 안암동,15,590311,M
29,서울시 노원구 상계3동,11,943485,M
52,서울시 관악구 서림동,1,478842,M
36,서울시 금천구 독산1동,6,556200,F
52,서울시 양천구 신정7동,10,29146508,F
29,서울시 성북구 종암동,15,29666474,F
51,서울시 마포구 성산1동,13,749926,F
39,서울시 은평구 대조동,8,698761,M
51,서울시 동대문구 휘경2동,19,481722,M
35,서울시 은평구 불광1동,18,868878,F
55,서울시 성북구 월곡2동,19,38457,M
24,서울시 중랑구 상봉1동,14,7446825,F
38,서울시 강남구 수서동,7,840937,M
50,서울시 서초구 서초1동,9,955143,F
46,서울시 중랑구 면목2동,16,407848,M
40,서울시 성북구 길음1동,16,25413,F
57,서울시 강서구 가양3동,11,7081673,M
57,서울시 강서구 화곡본동,7,8574873,F
27,서울시 구로구 구로1동,10,543933,M
38,서울시 구로구 구로3동,6,356927,F
51,서울시 서초구 반포1동,17,481722,F
54,서울시 성동구 응봉동,2,328866,M
35,서울시 광진구 화양동,6,678544,M
24,서울시 동대문구 이문1동,8,588655,F
63,서울시 강서구 공항동,22,6573170,F
42,서울시 양천구 신정1동,4,245439,F
48,서울시 구로구 구로3동,8,833592,M
27,서울시 성북구 길음2동,7,2963613,M
54,서울시 광진구 자양1동,5,14898788,M
55,서울시 서초구 반포1동,3,867810,M
29,서울시 강북구 번3동,4,554057,M
49,서울시 도봉구 창2동,7,2436352,F
43,서울시 은평구 갈현1동,4,827063,F
56,서울시 동대문구 이문1동,9,12701270,M
32,서울시 성북구 정릉3동,13,8017047,F
46,서울시 관악구 은천동,6,3043939,M
33,서울시 광진구 구의3동,9,9180730,F
64,서울시 도봉구 쌍문3동,4,9983188,F
48,서울시 서초구 반포4동,14,8039798,M
45,서울시 금천구 당산2동,8,542772,F
48,서울시 강서구 방화3동,16,8691038,F
62,서울시 구로구 고척2동,8,836106,F
44,서울시 강동구 길동,5,263767,F
33,서울시 중랑구 상봉2동,16,880439,F
71,서울시 성북구 돈암2동,14,48441,M
70,서울시 용산구 한남동,1,661805,M
61,서울시 동작구 노량진2동,15,94896,F
27,서울시 강서구 등촌1동,14,307365,F
50,서울시 성동구 마장동,3,573120,M
37,서울시 관악구 서림동,13,528535,M
49,서울시 양천구 목5동,14,383800,F
41,서울시 관악구 조원동,5,610943,F
34,서울시 동작구 상도3동,17,5161023,F
67,서울시 은평구 응암1동,3,397856,M
40,서울시 서대문구 홍1동,1,24943712,M
69,서울시 서초구 내곡동,11,8189492,M
32,서울시 서초구 방배3동,9,8017047,F
40,서울시 은평구 녹번동,5,610943,M
22,서울시 강남구 청담동,4,136204,F
69,서울시 금천구 문래동,5,633387,M
27,서울시 동대문구 전농1동,14,543933,F
52,서울시 도봉구 창1동,6,6189128,M
32,서울시 성북구 정릉1동,14,329148,F
62,서울시 은평구 신사1동,7,129646,M
68,서울시 강동구 명일1동,11,52290,M
47,서울시 금천구 대림3동,7,579364,F
57,서울시 양천구 목5동,3,356140,F
54,서울시 강북구 송천동,3,647602,M
37,서울시 도봉구 창4동,8,840937,F
45,서울시 강동구 둔촌2동,22,467313,M
29,서울시 서대문구 홍3동,12,101204,F
30,서울시 관악구 대학동,16,6722935,F
68,서울시 동대문구 제기동,2,441424,F
58,서울시 동대문구 전농2동,6,11921234,F
54,서울시 서대문구 연희동,5,8660337,F
60,서울시 성북구 삼선동,13,907306,M
44,서울시 용산구 원효로1동,14,12429400,M
48,서울시 서초구 양재1동,16,8691038,F
34,서울시 송파구 가락2동,3,394795,M
23,서울시 서대문구 북가좌2동,6,331111,M
35,서울시 송파구 잠실4동,2,675278,F
53,서울시 관악구 서림동,6,258933,F
25,서울시 관악구 청룡동,19,660909,M
50,서울시 중랑구 신내1동,7,268354,M
34,서울시 중랑구 상봉2동,17,4046378,F
45,서울시 양천구 신월1동,11,3916040,F
57,서울시 도봉구 도봉2동,17,7335791,F
44,서울시 양천구 목2동,7,4439805,F
56,서울시 중랑구 중화2동,4,659390,M
42,서울시 양천구 신정1동,10,8189142,M
41,서울시 금천구 시흥2동,1,4893819,M
33,서울시 송파구 삼전동,16,586134,F
54,서울시 강서구 등촌3동,15,352034,M
54,서울시 금천구 시흥1동,1,408863,M
52,서울시 양천구 목5동,7,3532623,F
24,서울시 동작구 대방동,15,318644,F
71,서울시 강남구 대치4동,6,823884,F
44,서울시 서대문구 홍1동,17,12429400,F
64,서울시 강남구 도곡1동,16,297012,M
54,서울시 도봉구 방학2동,3,370526801,M
49,서울시 양천구 목2동,16,637769,F
70,서울시 금천구 가산동,17,1742164,F
23,서울시 광진구 광장동,9,294685,F
44,서울시 강서구 화곡8동,10,511856,F
35,서울시 강동구 암사3동,13,5048394,F
50,서울시 양천구 신정3동,8,22475259,M
48,서울시 용산구 용산2가동,1,428788,F
49,서울시 송파구 가락2동,4,861964,M
48,서울시 서초구 반포4동,9,579364,F
26,서울시 중랑구 묵2동,5,864990,F
49,서울시 노원구 상계4동,8,604665,F
48,서울시 성동구 왕십리2동,17,416921,F
27,서울시 양천구 목2동,2,8117889,F
48,서울시 구로구 구로3동,8,875157,M
61,서울시 은평구 증산동,15,79751,F
56,서울시 금천구 당산1동,5,804564,M
45,서울시 마포구 공덕동,1,526154,M
69,서울시 강동구 상일동,19,178026,F
28,서울시 구로구 수궁동,12,140337,F
37,서울시 서대문구 북가좌2동,14,405409,F
48,서울시 강동구 천호2동,5,23150862,M
61,서울시 강남구 개포2동,3,85725,M
36,서울시 강남구 세곡동,5,21580174,F
45,서울시 은평구 응암3동,5,263767,F
22,서울시 광진구 구의3동,7,16610469,M
44,서울시 송파구 송파2동,1,4893819,F
34,서울시 중랑구 면목3동,17,5438358,M
52,서울시 강동구 길동,6,853782,F
34,서울시 송파구 잠실본동,17,868878,F
61,서울시 강남구 개포2동,9,9434886,M
70,서울시 성동구 옥수동,17,630474,F
28,서울시 도봉구 방학2동,7,4783318,F
41,서울시 서초구 방배2동,5,594229,F
43,서울시 강서구 가양1동,11,8598919,M
67,서울시 동대문구 장안2동,18,2661621,M
66,서울시 강동구 둔촌2동,7,129727,F
69,서울시 서초구 반포3동,5,634096,F
69,서울시 서초구 방배2동,15,1613015,F
63,서울시 구로구 구로4동,8,210113,F
37,서울시 은평구 응암1동,13,510280,M
42,서울시 양천구 신정3동,15,309864936,M
44,서울시 송파구 송파2동,18,462567,M
39,서울시 금천구 시흥1동,1,8941414,M
36,서울시 강북구 삼양동,6,678544,M
38,서울시 동대문구 이문1동,8,4413752,M
27,서울시 용산구 한남동,10,567344,M
53,서울시 강북구 수유1동,9,423188,M
56,서울시 금천구 당산2동,2,20646417,M
36,서울시 송파구 거여2동,5,900948,M
60,서울시 강동구 암사1동,15,24815465,F
52,서울시 용산구 이촌1동,10,381251,M
52,서울시 마포구 염리동,7,3532623,M
47,서울시 양천구 신정3동,6,762971,M
69,서울시 금천구 문래동,23,393070,M
58,서울시 강남구 신사동,2,328866,F
36,서울시 성동구 금호3가동,5,3108148,M
45,서울시 금천구 시흥2동,22,467313,F
39,서울시 강북구 미아동,9,9109251,M
54,서울시 송파구 거여2동,3,46581,F
57,서울시 관악구 행운동,14,907306,F
60,서울시 강동구 암사1동,10,875126,M
44,서울시 양천구 신정3동,9,5123046,F
46,서울시 중랑구 상봉2동,16,775131,M
60,서울시 동작구 노량진2동,16,4459135,F
66,서울시 중랑구 묵2동,14,598293,F
67,서울시 동대문구 휘경2동,18,1742164,M
57,서울시 은평구 갈현1동,4,9767650,M
39,서울시 관악구 인헌동,17,13236490,F
54,서울시 은평구 증산동,16,144388,F
48,서울시 강서구 방화3동,8,1837866,F
28,서울시 중랑구 면목4동,13,140337,F
50,서울시 강서구 등촌3동,5,804564,F
63,서울시 금천구 시흥5동,18,24532853,F
25,서울시 강동구 상일동,8,4783318,M
36,서울시 서대문구 홍은2동,6,678544,F
71,서울시 강서구 화곡3동,14,48441,M
43,서울시 금천구 시흥2동,9,588961,F
39,서울시 성북구 장위1동,6,1737886,M
60,서울시 광진구 자양3동,23,588698,M
62,서울시 강남구 일원1동,8,8094971,F
32,서울시 광진구 광장동,8,2283534,F
26,서울시 중랑구 묵2동,4,247742,F
46,서울시 은평구 진관동,3,863985,M
34,서울시 은평구 진관동,15,8961877,M
44,서울시 서대문구 충현동,5,263767,F
32,서울시 강서구 화곡1동,16,8017047,F
57,서울시 송파구 문정2동,7,8574873,F
53,서울시 강북구 수유1동,9,16127125,M
35,서울시 서초구 서초4동,20,391019,F
48,서울시 금천구 여의동,1,6883725,F
56,서울시 종로구 숭인1동,15,689448,M
54,서울시 동대문구 이문1동,12,952357,F
45,서울시 금천구 시흥1동,3,809440,F
52,서울시 서초구 방배3동,9,16127125,F
46,서울시 송파구 장지동,16,775131,M
54,서울시 중랑구 면목2동,5,14898788,F
41,서울시 양천구 신정4동,4,19522585,F
39,서울시 서초구 양재1동,8,754637,M
54,서울시 노원구 중계2동,12,775311,F
54,서울시 은평구 증산동,2,14898788,F
48,서울시 동작구 흑석동,1,17284463,M
30,서울시 강서구 발산1동,7,20402797,M
54,서울시 은평구 녹번동,12,29180982,M
27,서울시 강동구 둔촌2동,12,586924,M
42,서울시 성북구 월곡2동,8,1376499,M
29,서울시 양천구 신정7동,9,11973271,F
51,서울시 동대문구 휘경2동,3,173311,M
43,서울시 중랑구 신내2동,3,524996,F
41,서울시 강서구 화곡6동,13,8598919,M
25,서울시 관악구 행운동,9,414055,M
23,서울시 금천구 영등포본동,15,318644,F
44,서울시 금천구 도림동,5,6283253,M
23,서울시 서대문구 홍1동,12,400852,F
57,서울시 강동구 길동,16,635593,M
54,서울시 서초구 내곡동,15,745906,F
36,서울시 도봉구 방학1동,14,925521,M
57,서울시 은평구 응암3동,15,79751,F
63,서울시 강서구 공항동,13,48441,F
43,서울시 송파구 가락본동,2,5577833,F
51,서울시 관악구 서원동,3,129188,F
43,서울시 송파구 거여1동,19,959002,F
59,서울시 강남구 수서동,15,167951,M
36,서울시 강남구 세곡동,6,678544,F
25,서울시 관악구 청룡동,18,80691,M
29,서울시 강서구 등촌2동,2,15277198,F
66,서울시 강서구 화곡1동,14,698246,F
43,서울시 강남구 삼성2동,7,921528,M
23,서울시 금천구 영등포본동,13,28438488,F
48,서울시 동작구 흑석동,16,865417,F
56,서울시 강북구 삼양동,14,921333,M
28,서울시 도봉구 방학2동,12,1893555,F
53,서울시 동대문구 휘경2동,9,648901,F
56,서울시 중랑구 중화1동,14,209568,F
39,서울시 동대문구 장안1동,15,5237294,M
30,서울시 관악구 청림동,4,11855537,M
49,서울시 송파구 가락2동,16,589796,F
57,서울시 강서구 화곡본동,2,799121,F
46,서울시 강서구 가양1동,19,825714,F
71,서울시 송파구 가락본동,8,210113,F
32,서울시 광진구 중곡3동,3,7637614,F
50,서울시 서초구 반포본동,9,955143,M
50,서울시 양천구 신정3동,8,20437348,M
48,서울시 용산구 용산2가동,14,8591724,F
59,서울시 송파구 송파2동,16,929154,F
45,서울시 구로구 구로4동,16,4821558,F
46,서울시 강서구 가양1동,2,545252,M
63,서울시 서초구 반포본동,6,7319485,M
53,서울시 강서구 화곡1동,16,1427992,F
29,서울시 노원구 공릉2동,12,50237672,F
52,서울시 서초구 양재2동,1,824027,M
41,서울시 서초구 방배2동,17,3510962,F
32,서울시 노원구 상계2동,7,16610469,F
63,서울시 구로구 구로2동,16,297012,M
53,서울시 강북구 수유1동,18,98760,F
41,서울시 은평구 응암3동,17,690266,F
53,서울시 강동구 성내1동,2,14573172,M
46,서울시 송파구 장지동,17,272012,F
48,서울시 성동구 왕십리2동,1,428788,M
29,서울시 강북구 번2동,15,29666474,F
25,서울시 도봉구 창5동,5,2950074,F
39,서울시 은평구 대조동,3,845245,F
62,서울시 금천구 양평2동,4,714927,M
50,서울시 중랑구 신내1동,15,865417,F
33,서울시 강남구 개포4동,16,982439,M
56,서울시 중랑구 중화1동,2,20646417,F
38,서울시 동대문구 이문1동,8,515430,M
43,서울시 송파구 거여1동,5,6283253,F
28,서울시 구로구 수궁동,7,20402797,M
39,서울시 중구 장충동,9,754637,M
